,t,alpha,N,I3_over_full_mean,I3_over_full_median,P_over_full_mean,P_over_full_median,N2_over_full_mean,N2_over_full_median,frac_I3_suppressed_10pct,frac_I3_suppressed_1pct,frac_P_retained,frac_N2_retained,frac_pairwise_active_HOI_suppressed
0,0.1,0.0,400,3.815817370419305e-13,0.0,2.855204711114908,2.472802219999437,1.7792289843039677,1.6845127594233285,0.88,0.88,1.0,1.0,0.88
1,0.1,0.1,400,0.025601177388647745,0.010513650792250223,2.6892808074531764,2.3092835765501487,1.7286771104146914,1.6307483635532127,0.8475,0.42,1.0,1.0,0.8475
2,0.1,0.2,400,0.1290142657124643,0.0548215553483449,2.4764209933973005,2.1058847526947577,1.6587795970863821,1.5681127065730185,0.715,0.055,1.0,1.0,0.715
3,0.1,0.30000000000000004,400,0.3526365974196874,0.13708532747197463,2.211374618033818,1.8809637571440871,1.5631569718062883,1.475067662515925,0.1525,0.02,1.0,1.0,0.1525
4,0.1,0.4,400,0.7218274585737109,0.26320943415645565,1.9012007522394756,1.6648570931186337,1.437211847612286,1.3702432862363305,0.0675,0.01,1.0,1.0,0.0675
5,0.1,0.5,400,1.1690169623883193,0.42223618309107425,1.5752403884950519,1.4394504223176678,1.284623143438098,1.247121793911002,0.02,0.005,0.965,1.0,0.02
6,0.1,0.6000000000000001,400,1.4488934926730632,0.5527898879863256,1.2846341759186892,1.2540851300098292,1.1337790191986548,1.1383536949422242,0.005,0.005,0.8975,0.95,0.005
7,0.1,0.7000000000000001,400,1.4790778873239303,0.6178223816799817,1.0794187650833238,1.1315020230704134,1.0296950415441026,1.0627594333961095,0.0025,0.0025,0.8525,0.9475,0.0025
8,0.1,0.8,400,1.2229535370444848,0.7426215004556501,0.9768129911366153,1.0572040439398775,0.9817141404257709,1.0216383729879843,0.01,0.005,0.8875,1.0,0.01
9,0.1,0.9,400,1.0289557232388966,0.8713888528189502,0.9599486510599626,1.0151309682492724,0.9778705289630782,1.0056301275915298,0.01,0.0075,1.0,1.0,0.01
10,0.1,1.0,400,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
11,0.15,0.0,400,2.0530511851394663e-13,0.0,2.8620892961907454,2.3392692621152493,1.727398003170785,1.5724846034385118,0.9525,0.9525,1.0,1.0,0.9525
12,0.15,0.1,400,0.0746054125816569,0.021434702342279077,2.7480705542477573,2.2511076643845964,1.7024116174395192,1.5442637514831876,0.88,0.125,1.0,1.0,0.88
13,0.15,0.2,400,0.3376704599998411,0.10118489687908219,2.5853411498401715,2.1187815108420356,1.660677812059637,1.5005005564351879,0.475,0.005,1.0,1.0,0.475
14,0.15,0.30000000000000004,400,0.8426038815505075,0.2455809817039308,2.3585457777910013,1.9042634860837477,1.5929628532247149,1.4291585455564026,0.075,0.0,1.0,1.0,0.075
15,0.15,0.4,400,1.5821261890269267,0.44942542435201477,2.063290881959679,1.6915388146959134,1.48956854552985,1.3343603306316347,0.015,0.0,1.0,1.0,0.015
16,0.15,0.5,400,2.3809416554193827,0.6699752227770439,1.7231991571290655,1.4720459742450314,1.348273572566686,1.2441129538348648,0.0,0.0,0.9825,1.0,0.0
17,0.15,0.6000000000000001,400,2.860670628331564,0.8266984657496017,1.3955587838268224,1.2938683232236965,1.1940061687541557,1.146654909279963,0.0,0.0,0.9175,0.96,0.0
18,0.15,0.7000000000000001,400,2.6544302312389494,0.8840178894706003,1.14633995258541,1.1528762074197414,1.0723971270400987,1.0751541956866193,0.0,0.0,0.8725,0.935,0.0
19,0.15,0.8,400,1.6922335681789653,0.912457520578236,1.0082598431704448,1.0596211582334192,1.003006505939004,1.0290525283162848,0.0,0.0,0.8775,1.0,0.0
20,0.15,0.9,400,1.2311704921033295,0.9236140497982505,0.9699455047990879,1.0163272644146295,0.9850017796397165,1.0065536562069086,0.0025,0.0025,1.0,1.0,0.0025
21,0.15,1.0,400,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
22,0.25,0.0,400,4.605037803678759e-14,0.0,2.820954917895219,2.172595040087252,1.6142375145621162,1.3235134871381136,0.8275,0.8275,1.0,1.0,0.8275
23,0.25,0.1,400,0.09996775678994815,0.03148024248553799,2.8185977133730478,2.1432569366729286,1.6116874803188244,1.3137639614537486,0.71,0.025,1.0,1.0,0.71
24,0.25,0.2,400,0.41488951474896013,0.13951103649147636,2.7647771485854618,2.0627632233402746,1.6077008407750895,1.3051550024804697,0.275,0.0,1.0,1.0,0.275
25,0.25,0.30000000000000004,400,0.9394740358867407,0.3284954503937363,2.619523676971738,1.905355399176555,1.5970245529901552,1.2844379622504039,0.0475,0.0,1.0,1.0,0.0475
26,0.25,0.4,400,1.572561213222991,0.5625658604389829,2.3527066872682054,1.7092231045310644,1.5596779518732524,1.2329821193883062,0.0,0.0,1.0,1.0,0.0
27,0.25,0.5,400,2.1183719242316683,0.767785700115361,1.9798183897444601,1.4870030180522962,1.470552453484096,1.1494679181721317,0.0,0.0,0.995,1.0,0.0
28,0.25,0.6000000000000001,400,2.369975297865865,0.8234122109385215,1.5787830152768436,1.2876497847854202,1.3278537057763313,1.0778587214888398,0.0,0.0,0.93,0.9725,0.0
29,0.25,0.7000000000000001,400,2.2070764766724604,0.8396162045890003,1.2513824926183288,1.1396179322116646,1.172813922403776,1.0376987752409956,0.0,0.0,0.8775,0.93,0.0
30,0.25,0.8,400,1.6461351028201834,0.878888875291792,1.0555629072675488,1.0527880369488356,1.0543420102590968,1.0135981013201714,0.025,0.0125,0.885,0.9575,0.025
31,0.25,0.9,400,1.1750994231934409,0.9200691102604754,0.9844343398508008,1.0116582497862252,0.9984310017450878,1.00197401818362,0.0275,0.02,0.985,0.99,0.0275
32,0.25,1.0,400,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
