,t,alpha,N,I3_over_full_mean,I3_over_full_median,P_over_full_mean,P_over_full_median,N2_over_full_mean,N2_over_full_median,frac_I3_suppressed_10pct,frac_I3_suppressed_1pct,frac_P_retained,frac_N2_retained,frac_pairwise_active_HOI_suppressed
0,0.1,0.0,400,0.0,0.0,2.8552047111149146,2.4728022199994895,1.779228984303968,1.6845127594233278,0.88,0.88,1.0,1.0,0.88
1,0.1,0.1,400,0.025601177391187422,0.010513650800981409,2.6892808074531818,2.309283576550154,1.7286771104146919,1.6307483635532134,0.8475,0.42,1.0,1.0,0.8475
2,0.1,0.2,400,0.12901426566932891,0.054821555344956766,2.4764209933973054,2.1058847526947755,1.6587795970863828,1.5681127065730187,0.715,0.055,1.0,1.0,0.715
3,0.1,0.30000000000000004,400,0.35263659731366587,0.137085327466401,2.2113746180338216,1.8809637571440478,1.5631569718062885,1.4750676625159251,0.1525,0.02,1.0,1.0,0.1525
4,0.1,0.4,400,0.7218274583939869,0.2632094341539048,1.901200752239478,1.6648570931186075,1.4372118476122864,1.37024328623633,0.0675,0.01,1.0,1.0,0.0675
5,0.1,0.5,400,1.1690169621591022,0.4222361830902596,1.575240388495054,1.4394504223176454,1.2846231434380981,1.2471217939110026,0.02,0.005,0.965,1.0,0.02
6,0.1,0.6000000000000001,400,1.448893492418511,0.552789887967742,1.2846341759186906,1.25408513000983,1.133779019198655,1.1383536949422255,0.005,0.005,0.8975,0.95,0.005
7,0.1,0.7000000000000001,400,1.479077887085095,0.6178223819012699,1.0794187650833258,1.1315020230704143,1.0296950415441026,1.0627594333961083,0.0025,0.0025,0.8525,0.9475,0.0025
8,0.1,0.8,400,1.2229535368350233,0.7426215004600594,0.9768129911366157,1.057204043939911,0.9817141404257709,1.021638372987983,0.01,0.005,0.8875,1.0,0.01
9,0.1,0.9,400,1.028955723124363,0.8713888528291169,0.9599486510599636,1.0151309682492804,0.9778705289630785,1.0056301275915305,0.01,0.0075,1.0,1.0,0.01
10,0.1,1.0,400,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
11,0.15,0.0,400,8.79454348011484e-13,3.42246596019697e-14,2.8620892961907454,2.339269262115269,1.7273980031707847,1.572484603438512,0.9525,0.9525,1.0,1.0,0.9525
12,0.15,0.1,400,0.07460541258672852,0.02143470234143829,2.748070554247757,2.2511076643846035,1.7024116174395194,1.544263751483189,0.88,0.125,1.0,1.0,0.88
13,0.15,0.2,400,0.33767046004213047,0.10118489687893224,2.58534114984017,2.118781510842047,1.6606778120596375,1.500500556435188,0.475,0.005,1.0,1.0,0.475
14,0.15,0.30000000000000004,400,0.8426038816237971,0.2455809817032128,2.358545777791,1.9042634860837513,1.5929628532247153,1.429158545556402,0.075,0.0,1.0,1.0,0.075
15,0.15,0.4,400,1.5821261891440228,0.4494254243726894,2.063290881959678,1.6915388146959018,1.4895685455298502,1.3343603306316347,0.015,0.0,1.0,1.0,0.015
16,0.15,0.5,400,2.380941655562989,0.6699752227782971,1.7231991571290652,1.4720459742450265,1.3482735725666861,1.2441129538348652,0.0,0.0,0.9825,1.0,0.0
17,0.15,0.6000000000000001,400,2.86067062849616,0.8266984657517625,1.3955587838268213,1.2938683232237116,1.1940061687541559,1.1466549092799627,0.0,0.0,0.9175,0.96,0.0
18,0.15,0.7000000000000001,400,2.654430231393478,0.884017889475216,1.146339952585409,1.1528762074197452,1.072397127040099,1.0751541956866189,0.0,0.0,0.8725,0.935,0.0
19,0.15,0.8,400,1.6922335683068057,0.9124575205823812,1.0082598431704437,1.0596211582334272,1.0030065059390043,1.029052528316285,0.0,0.0,0.8775,1.0,0.0
20,0.15,0.9,400,1.2311704921647029,0.9236140498009766,0.9699455047990864,1.016327264414619,0.9850017796397167,1.0065536562069082,0.0025,0.0025,1.0,1.0,0.0025
21,0.15,1.0,400,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
22,0.25,0.0,400,1.280186745068701e-13,0.0,2.8209549178952193,2.1725950400872454,1.6142375145621162,1.3235134871381131,0.8275,0.8275,1.0,1.0,0.8275
23,0.25,0.1,400,0.09996775679141785,0.03148024248600214,2.8185977133730495,2.1432569366729246,1.6116874803188244,1.3137639614537484,0.71,0.025,1.0,1.0,0.71
24,0.25,0.2,400,0.41488951475237373,0.13951103649180216,2.764777148585464,2.0627632233402764,1.6077008407750895,1.30515500248047,0.275,0.0,1.0,1.0,0.275
25,0.25,0.30000000000000004,400,0.9394740358932686,0.3284954503931669,2.6195236769717396,1.9053553991765426,1.5970245529901559,1.2844379622504043,0.0475,0.0,1.0,1.0,0.0475
26,0.25,0.4,400,1.5725612132356912,0.5625658604387147,2.352706687268207,1.709223104531068,1.5596779518732526,1.232982119388307,0.0,0.0,1.0,1.0,0.0
27,0.25,0.5,400,2.118371924248445,0.7677857001146021,1.979818389744461,1.4870030180522944,1.470552453484096,1.1494679181721321,0.0,0.0,0.995,1.0,0.0
28,0.25,0.6000000000000001,400,2.369975297884253,0.8234122109317638,1.578783015276844,1.287649784785423,1.3278537057763315,1.0778587214888398,0.0,0.0,0.93,0.9725,0.0
29,0.25,0.7000000000000001,400,2.207076476689769,0.8396162045896248,1.251382492618329,1.139617932211662,1.1728139224037761,1.0376987752409959,0.0,0.0,0.8775,0.93,0.0
30,0.25,0.8,400,1.6461351028305988,0.8788888752922482,1.0555629072675483,1.052788036948836,1.054342010259097,1.0135981013201711,0.025,0.0125,0.885,0.9575,0.025
31,0.25,0.9,400,1.1750994231986331,0.9200691102611966,0.9844343398508005,1.011658249786223,0.9984310017450876,1.0019740181836205,0.0275,0.02,0.985,0.99,0.0275
32,0.25,1.0,400,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
