,t,N,n_points,base_seed_requested,effective_base_seed,state_seed,family,family_min_jtot,health_check,corr_J_rho,corr_J_tot,corr_SL,corr_P_pair,corr_N_pair,corr_N_env,target_max,target_mean,J_tot_min_grid,J_tot_mean_grid,state_idx
0,0.05,8,144,1,1,1000,broad_xyz,21.99112410904393,False,0.3335804157494368,0.3355550859861467,-0.1000406418812129,-0.5204228719220118,-0.5127680719495192,0.4571222327094101,0.0018039345960028,0.0004252741045839,2.2119365552471064e-15,17.487037648106664,0
1,0.075,8,144,1,1,1000,broad_xyz,21.99112410904393,False,0.3555190298238188,0.343450607144501,-0.0332424803060088,-0.5296106627498488,-0.6173515003326501,0.5006383713874633,0.0042968566150489,0.0010176808839471,2.2119365552471064e-15,17.487037648106664,0
2,0.1,8,144,1,1,1000,broad_xyz,21.99112410904393,False,0.414714750893085,0.401397348568796,0.0566422563858473,-0.5518806263709879,-0.6952835763381386,0.5503376195320806,0.0075857846959055,0.001938755922199,2.2119365552471064e-15,17.487037648106664,0
3,0.125,8,144,1,1,1000,broad_xyz,21.99112410904393,False,0.507283471414755,0.5131842989417953,0.1597670904842739,-0.5930485132746559,-0.7636335148413635,0.6103265471983041,0.0116949416411475,0.0034795349054294,2.2119365552471064e-15,17.487037648106664,0
4,0.15,8,144,1,1,1000,broad_xyz,21.99112410904393,False,0.6289349155291789,0.6693388355239799,0.3128562840092851,-0.6144643434456293,-0.7879870184480356,0.6203672609304817,0.0170020129270722,0.006736085979428,2.2119365552471064e-15,17.487037648106664,0
5,0.1625,8,144,1,1,1000,broad_xyz,21.99112410904393,False,0.6730139546843894,0.7419386662811488,0.3930445259953569,-0.6131272155852604,-0.7843299531673164,0.5902509796941855,0.0224814439975511,0.0095812011819916,2.2119365552471064e-15,17.487037648106664,0
6,0.175,8,144,1,1,1000,broad_xyz,21.99112410904393,False,0.7047776788740715,0.799902827715984,0.4647918762409404,-0.6128271173185109,-0.7789614934330009,0.5509928380791006,0.0290566549402702,0.0135394051519635,2.2119365552471064e-15,17.487037648106664,0
7,0.1875,8,144,1,1,1000,broad_xyz,21.99112410904393,False,0.7190085034288527,0.8351578233330135,0.5251906862884625,-0.6162378377940955,-0.7678184063011638,0.5037585868715225,0.0400614550263314,0.0185076190633446,2.2119365552471064e-15,17.487037648106664,0
8,0.2,8,144,1,1,1000,broad_xyz,21.99112410904393,False,0.7246005391855745,0.8539535322818268,0.5687891127773258,-0.6332263802841045,-0.7363294738340528,0.4580302424216363,0.0534035302951383,0.0241846989763106,2.2119365552471064e-15,17.487037648106664,0
9,0.2125,8,144,1,1,1000,broad_xyz,21.99112410904393,False,0.7260344871582993,0.8599565552145096,0.5974899028378255,-0.664938978887606,-0.6922495777900705,0.4134056027719006,0.0663296171059798,0.0303587125100365,2.2119365552471064e-15,17.487037648106664,0
10,0.225,8,144,1,1,1000,broad_xyz,21.99112410904393,False,0.7265937909946166,0.8584247807550996,0.6149726626917575,-0.7075389688053215,-0.6386403552175296,0.3701042187911749,0.0785968791710145,0.0368637052669976,2.2119365552471064e-15,17.487037648106664,0
11,0.2375,8,144,1,1,1000,broad_xyz,21.99112410904393,False,0.7256424549714281,0.8509076513491188,0.6228669091272528,-0.7566355206009439,-0.5820342456257116,0.3256493061090556,0.0896792976799799,0.0437110251241475,2.2119365552471064e-15,17.487037648106664,0
12,0.25,8,144,1,1,1000,broad_xyz,21.99112410904393,False,0.72508515017254,0.8412615332930788,0.6286736920244883,-0.8031360078390978,-0.5224579743187673,0.2791317257490534,0.0995493522140823,0.0508761342842204,2.2119365552471064e-15,17.487037648106664,0
13,0.27,8,144,1,1,1000,broad_xyz,21.99112410904393,False,0.725683908350029,0.8251802611381233,0.6458258688794353,-0.8565258048813948,-0.4467889440022574,0.2019931023055062,0.1134854801969616,0.0628892518487245,2.2119365552471064e-15,17.487037648106664,0
14,0.29,8,144,1,1,1000,broad_xyz,21.99112410904393,False,0.7462432330414632,0.8285060295809723,0.7004570765084447,-0.8673547610242424,-0.3866915240938545,0.1489497021954255,0.1250256926996848,0.0741990222614377,2.2119365552471064e-15,17.487037648106664,0
15,0.31,8,144,1,1,1000,broad_xyz,21.99112410904393,False,0.7932865405381476,0.8605397045500963,0.7855125160166534,-0.862346905097161,-0.3330360626907371,0.148636917407909,0.1345743651530226,0.0825321823002468,2.2119365552471064e-15,17.487037648106664,0
16,0.33,8,144,1,1,1000,broad_xyz,21.99112410904393,False,0.8402037469141612,0.8997643809137391,0.8564138990514646,-0.8851658153304292,-0.3042171410300875,0.1850954640589996,0.1426557463283281,0.0867299930871731,2.2119365552471064e-15,17.487037648106664,0
17,0.35,8,144,1,1,1000,broad_xyz,21.99112410904393,False,0.8698299040583943,0.9260789006536194,0.904680425957944,-0.9190232724194508,-0.3488131507206162,0.2079794409060787,0.1491167593508294,0.0880274662206239,2.2119365552471064e-15,17.487037648106664,0
18,0.37,8,144,1,1,1000,broad_xyz,21.99112410904393,False,0.883261215323246,0.9382912086136784,0.9306338128854708,-0.9406535218984506,-0.4654758266189753,0.205040072476187,0.1546759069144795,0.088176611383276,2.2119365552471064e-15,17.487037648106664,0
19,0.39,8,144,1,1,1000,broad_xyz,21.99112410904393,False,0.8872653603944222,0.9429479284163405,0.9423100759138896,-0.9445943628043268,-0.5980165203397659,0.1846490527430822,0.1569559003911685,0.0880223951741574,2.2119365552471064e-15,17.487037648106664,0
20,0.41,8,144,1,1,1000,broad_xyz,21.99112410904393,False,0.889060051479717,0.9434306727607092,0.94736489750857,-0.9392770695207256,-0.691371586249105,0.1551034470565522,0.1554952334119266,0.0876757444344952,2.2119365552471064e-15,17.487037648106664,0
21,0.43,8,144,1,1,1000,broad_xyz,21.99112410904393,False,0.8904071806580138,0.9412902544276244,0.9489022862822646,-0.9311767091359044,-0.7491844007755195,0.1194268788542149,0.155140231734315,0.0872351860374304,2.2119365552471064e-15,17.487037648106664,0
22,0.45,8,144,1,1,1000,broad_xyz,21.99112410904393,False,0.8860026428048292,0.9358155027953776,0.9480542044295648,-0.9225565238444124,-0.78942908784235,0.0762612579049108,0.1547617340703228,0.0868884953714488,2.2119365552471064e-15,17.487037648106664,0
23,0.5,8,144,1,1,1000,broad_xyz,21.99112410904393,False,0.8005755017548005,0.899182079028554,0.9287391428001756,-0.9208590643427682,-0.7703938270987354,-0.0465172422674102,0.1516282087803157,0.0899528117351456,2.2119365552471064e-15,17.487037648106664,0
24,0.55,8,144,1,1,1000,broad_xyz,21.99112410904393,False,0.6755147621970478,0.7943219280077862,0.8374664586432932,-0.9173045383833748,-0.6606514251807589,-0.2449963527968169,0.1457868921070543,0.1016812833462977,2.2119365552471064e-15,17.487037648106664,0
25,0.6,8,144,1,1,1000,broad_xyz,21.99112410904393,False,0.6549641238937133,0.7033208087912319,0.7469835279237361,-0.8797429034239868,-0.6166957524423131,-0.4753047693319642,0.1598010124006575,0.1109600162887452,2.2119365552471064e-15,17.487037648106664,0
26,0.6499999999999999,8,144,1,1,1000,broad_xyz,21.99112410904393,False,0.7407613230424982,0.7853807992018975,0.8184458108918907,-0.9068945178995012,-0.7657936692651313,-0.5336197884450004,0.1621257473908423,0.1096217654418406,2.2119365552471064e-15,17.487037648106664,0
27,0.7,8,144,1,1,1000,broad_xyz,21.99112410904393,False,0.7656146930878974,0.8356945538068007,0.8646975323994822,-0.90895198700605,-0.8450434164824377,-0.5878652608828125,0.1632797009813563,0.1052608743915219,2.2119365552471064e-15,17.487037648106664,0
28,0.725,8,144,1,1,1000,broad_xyz,21.99112410904393,False,0.7637093963443664,0.8530604114587289,0.8781997683431841,-0.8919481442257879,-0.8619722873747752,-0.6037963746530749,0.1659488226435456,0.1041751352875023,2.2119365552471064e-15,17.487037648106664,0
29,0.75,8,144,1,1,1000,broad_xyz,21.99112410904393,False,0.7662316746086497,0.8755979038346876,0.8921336828380261,-0.8561588578396478,-0.8778445484805211,-0.6101469747071295,0.1642088723606827,0.1034620060413366,2.2119365552471064e-15,17.487037648106664,0
30,0.775,8,144,1,1,1000,broad_xyz,21.99112410904393,False,0.7704908285777811,0.8979164862330828,0.9026275906036882,-0.7793401967417838,-0.892386028598728,-0.609697501886189,0.1615547479562993,0.1025247402130853,2.2119365552471064e-15,17.487037648106664,0
31,0.8,8,144,1,1,1000,broad_xyz,21.99112410904393,False,0.7727547918267655,0.9140918176290908,0.9082738742218828,-0.6228769089167282,-0.9032227821110222,-0.6029924171554397,0.1600689845780863,0.1009570197356127,2.2119365552471064e-15,17.487037648106664,0
32,0.825,8,144,1,1,1000,broad_xyz,21.99112410904393,False,0.7735045113199525,0.9236000120705076,0.9130910840644064,-0.3843150244334873,-0.9141959614868618,-0.5801268473259775,0.1592184419349234,0.0985202787228839,2.2119365552471064e-15,17.487037648106664,0
33,0.85,8,144,1,1,1000,broad_xyz,21.99112410904393,False,0.7746224979891576,0.9264408941104724,0.9202494440351684,-0.1825274617269893,-0.927301233891937,-0.5309998901077684,0.1569411098354582,0.0951977308454368,2.2119365552471064e-15,17.487037648106664,0
34,0.875,8,144,1,1,1000,broad_xyz,21.99112410904393,False,0.7779485341176051,0.921733406166548,0.9229662595239784,-0.1228056764359131,-0.9278822323043356,-0.4818791750009446,0.1508594385462725,0.0922081769574984,2.2119365552471064e-15,17.487037648106664,0
35,0.9,8,144,1,1,1000,broad_xyz,21.99112410904393,False,0.7854656213031806,0.9132776314258588,0.9203555058124344,-0.1521573511901433,-0.9023065783561764,-0.4613983132671049,0.1503098344832945,0.0910352254491875,2.2119365552471064e-15,17.487037648106664,0
36,0.95,8,144,1,1,1000,broad_xyz,21.99112410904393,False,0.8195648207839136,0.8974577379846225,0.9249974173173814,-0.3407152375256048,-0.9349005159851516,-0.4616904189401939,0.1495111048445199,0.0932687153871533,2.2119365552471064e-15,17.487037648106664,0
37,1.0,8,144,1,1,1000,broad_xyz,21.99112410904393,False,0.8429303446848789,0.8597276436773059,0.9251496389665648,-0.7650351864132301,-0.9344578681832212,-0.4804731346428997,0.1459571771546283,0.097362335257639,2.2119365552471064e-15,17.487037648106664,0
38,0.05,8,144,1,1,1001,broad_xyz,21.99112410904393,False,0.1674051836891525,0.4608249411784392,-0.3618580217468094,-0.6740015798800199,-0.5097462415077723,-0.1650248814207965,0.0017099584019794,0.0004294557239272,2.2119365552471064e-15,17.487037648106664,1
39,0.075,8,144,1,1,1001,broad_xyz,21.99112410904393,False,0.3112023338361168,0.5502286598086962,-0.2243244386842453,-0.6607689887477325,-0.4845487348341802,-0.198294458205058,0.0043188276591297,0.0012773926029415,2.2119365552471064e-15,17.487037648106664,1
40,0.1,8,144,1,1,1001,broad_xyz,21.99112410904393,False,0.4861641640252643,0.6462601567208252,-0.0348782328934655,-0.6175702292925792,-0.501828426443472,-0.2314845088098359,0.0089699866688214,0.0031041026886462,2.2119365552471064e-15,17.487037648106664,1
41,0.125,8,144,1,1,1001,broad_xyz,21.99112410904393,False,0.6433084947644783,0.7192925139289065,0.1693763124098083,-0.5585646733636934,-0.6175607619283274,-0.2470863852915498,0.0181078670770638,0.006635060499932,2.2119365552471064e-15,17.487037648106664,1
42,0.15,8,144,1,1,1001,broad_xyz,21.99112410904393,False,0.7442451069444352,0.7656984503436768,0.3437627584428266,-0.5220154031465188,-0.6769868931882652,-0.2547281111476146,0.0319956481970672,0.0127263570931159,2.2119365552471064e-15,17.487037648106664,1
