t,J_AB,J_BC,J_AC,J_CD,comm_max,J_tot,J_rho_exp,eta,I3,I3_minus,S_ABC,S_L,P_pair,N_pair_sum,N_tri_geom,N_tri_min
0.1,-1.7320508075688772,-1.7320508075688772,-1.7320508075688772,0.34641016151377546,0.0,0.0,0.0,,7.985495643502109e-16,0.0,1.6017132519074588e-16,0.0,0.7424888219508778,0.3533732528211757,0.19852804042727734,0.19208099820188992
0.1,-1.7320508075688772,-1.7320508075688772,1.7320508075688772,0.34641016151377546,0.0,0.0,0.0,,1.2235523886911905e-15,0.0,6.406853007629834e-16,-2.220446049250313e-16,0.7424888219508774,0.3446316928495232,0.19852804042727737,0.19208099820188995
0.1,-1.7320508075688772,1.7320508075688772,-1.7320508075688772,0.34641016151377546,0.0,0.0,0.0,,1.0911366391160737e-15,0.0,4.805139755722376e-16,-2.220446049250313e-16,0.7424888219508774,0.35187595392429466,0.19852804042727734,0.19208099820188992
0.1,-1.7320508075688772,1.7320508075688772,1.7320508075688772,0.34641016151377546,0.0,0.0,0.0,,1.6653345369377348e-16,0.0,-0.0,1.1102230246251565e-16,0.7424888219508767,0.3545274063072068,0.19852804042727729,0.19208099820188984
0.1,1.7320508075688772,-1.7320508075688772,-1.7320508075688772,0.34641016151377546,0.0,0.0,0.0,,2.7755575615628914e-16,0.0,-0.0,-2.220446049250313e-16,0.7424888219508772,0.3545274063072069,0.19852804042727742,0.19208099820188998
0.1,1.7320508075688772,-1.7320508075688772,1.7320508075688772,0.34641016151377546,0.0,0.0,0.0,,3.2670477888451936e-16,0.0,1.6017132519074588e-16,0.0,0.7424888219508776,0.3518759539242946,0.19852804042727734,0.1920809982018899
0.1,1.7320508075688772,1.7320508075688772,-1.7320508075688772,0.34641016151377546,0.0,0.0,0.0,,6.042605350408085e-16,0.0,1.6017132519074588e-16,-2.220446049250313e-16,0.7424888219508767,0.3446316928495232,0.1985280404272773,0.19208099820188995
0.1,1.7320508075688772,1.7320508075688772,1.7320508075688772,0.34641016151377546,0.0,0.0,0.0,,9.864764651565858e-16,0.0,3.2034265038149176e-16,0.0,0.7424888219508774,0.3533732528211757,0.1985280404272773,0.1920809982018899
0.25,-1.7320508075688772,-1.7320508075688772,-1.7320508075688772,0.34641016151377546,0.0,0.0,0.0,,7.025585804972689e-16,0.0,4.805139755722376e-16,0.0,2.141863179823144,0.48747307714619037,0.39675153461525253,0.3805214237944845
0.25,-1.7320508075688772,-1.7320508075688772,1.7320508075688772,0.34641016151377546,0.0,0.0,0.0,,-4.440892098500626e-16,4.440892098500626e-16,-0.0,0.0,2.141863179823143,0.4354741503498222,0.39675153461525264,0.3805214237944847
0.25,-1.7320508075688772,1.7320508075688772,-1.7320508075688772,0.34641016151377546,0.0,0.0,0.0,,2.45745113641151e-16,0.0,8.008566259537293e-16,0.0,2.1418631798231433,0.47857396246125466,0.3967515346152526,0.3805214237944848
0.25,-1.7320508075688772,1.7320508075688772,1.7320508075688772,0.34641016151377546,0.0,0.0,0.0,,3.3306690738754696e-16,0.0,-0.0,0.0,2.141863179823144,0.49432203548798714,0.3967515346152526,0.3805214237944844
0.25,1.7320508075688772,-1.7320508075688772,-1.7320508075688772,0.34641016151377546,0.0,0.0,0.0,,8.991546714101894e-16,0.0,1.1211992763352207e-15,0.0,2.141863179823143,0.49432203548798703,0.3967515346152526,0.38052142379448445
0.25,1.7320508075688772,-1.7320508075688772,1.7320508075688772,0.34641016151377546,0.0,0.0,0.0,,-6.169847920468636e-16,6.169847920468636e-16,1.6017132519074588e-16,-2.220446049250313e-16,2.1418631798231424,0.47857396246125494,0.39675153461525264,0.38052142379448467
0.25,1.7320508075688772,1.7320508075688772,-1.7320508075688772,0.34641016151377546,0.0,0.0,0.0,,7.517076032254991e-16,0.0,6.406853007629834e-16,0.0,2.1418631798231433,0.43547415034982245,0.39675153461525253,0.38052142379448445
0.25,1.7320508075688772,1.7320508075688772,1.7320508075688772,0.34641016151377546,0.0,0.0,0.0,,2.347688619310865e-16,0.0,-3.2034265038149176e-16,0.0,2.1418631798231433,0.4874730771461906,0.3967515346152527,0.38052142379448467
0.5,-1.7320508075688772,-1.7320508075688772,-1.7320508075688772,0.34641016151377546,0.0,0.0,0.0,,6.661338147750939e-16,0.0,-0.0,0.0,2.610342972474932,0.4477032177783189,0.45378775568465246,0.42998390237546996
0.5,-1.7320508075688772,-1.7320508075688772,1.7320508075688772,0.34641016151377546,0.0,0.0,0.0,,-3.3306690738754696e-16,3.3306690738754696e-16,-0.0,-2.220446049250313e-16,2.610342972474931,0.43967164016778776,0.45378775568465274,0.42998390237547024
0.5,-1.7320508075688772,1.7320508075688772,-1.7320508075688772,0.34641016151377546,0.0,0.0,0.0,,8.263051399658399e-16,0.0,1.6017132519074588e-16,0.0,2.6103429724749323,0.4463145614909567,0.45378775568465285,0.42998390237547024
0.5,-1.7320508075688772,1.7320508075688772,1.7320508075688772,0.34641016151377546,0.0,0.0,0.0,,9.829804545646046e-17,0.0,3.2034265038149176e-16,0.0,2.610342972474932,0.4487772559797275,0.45378775568465274,0.42998390237547035
0.5,1.7320508075688772,-1.7320508075688772,-1.7320508075688772,0.34641016151377546,0.0,0.0,0.0,,7.025585804972689e-16,0.0,4.805139755722376e-16,0.0,2.610342972474932,0.4487772559797272,0.4537877556846526,0.4299839023754703
0.5,1.7320508075688772,-1.7320508075688772,1.7320508075688772,0.34641016151377546,0.0,0.0,0.0,,-5.423872553065231e-16,5.423872553065231e-16,-3.2034265038149176e-16,0.0,2.6103429724749305,0.4463145614909566,0.45378775568465274,0.4299839023754704
0.5,1.7320508075688772,1.7320508075688772,-1.7320508075688772,0.34641016151377546,0.0,0.0,0.0,,5.915362780347533e-16,0.0,4.805139755722376e-16,1.1102230246251565e-16,2.6103429724749323,0.4396716401677879,0.4537877556846527,0.42998390237547013
0.5,1.7320508075688772,1.7320508075688772,1.7320508075688772,0.34641016151377546,0.0,0.0,0.0,,3.2034265038149176e-16,0.0,3.2034265038149176e-16,0.0,2.6103429724749314,0.44770321777831834,0.4537877556846526,0.42998390237547024
1.0,-1.7320508075688772,-1.7320508075688772,-1.7320508075688772,0.34641016151377546,0.0,0.0,0.0,,-3.6718461150620347e-16,3.6718461150620347e-16,1.6017132519074588e-16,0.0,0.6693638282588821,0.3356245980700948,0.1859360808792819,0.17993735887762707
1.0,-1.7320508075688772,-1.7320508075688772,1.7320508075688772,0.34641016151377546,0.0,0.0,0.0,,7.690459834385914e-17,0.0,1.6017132519074588e-16,-2.220446049250313e-16,0.6693638282588827,0.32836852239134207,0.1859360808792819,0.179937358877627
1.0,-1.7320508075688772,1.7320508075688772,-1.7320508075688772,0.34641016151377546,0.0,0.0,0.0,,2.056219657160058e-15,0.0,6.406853007629834e-16,0.0,0.6693638282588849,0.3343806937863358,0.1859360808792819,0.17993735887762705
1.0,-1.7320508075688772,1.7320508075688772,1.7320508075688772,0.34641016151377546,0.0,0.0,0.0,,1.1807654944659882e-15,0.0,3.2034265038149176e-16,0.0,0.6693638282588834,0.3365837252700238,0.18593608087928193,0.17993735887762707
1.0,1.7320508075688772,-1.7320508075688772,-1.7320508075688772,0.34641016151377546,0.0,0.0,0.0,,-6.724959432781215e-16,6.724959432781215e-16,1.6017132519074588e-16,0.0,0.6693638282588812,0.3365837252700237,0.18593608087928185,0.17993735887762707
1.0,1.7320508075688772,-1.7320508075688772,1.7320508075688772,0.34641016151377546,0.0,0.0,0.0,,5.209938081939218e-16,0.0,1.6017132519074588e-16,-2.220446049250313e-16,0.6693638282588829,0.33438069378633556,0.18593608087928196,0.17993735887762713
1.0,1.7320508075688772,1.7320508075688772,-1.7320508075688772,0.34641016151377546,0.0,0.0,0.0,,8.557378845040516e-17,0.0,6.406853007629834e-16,-2.220446049250313e-16,0.6693638282588817,0.32836852239134184,0.18593608087928193,0.17993735887762707
1.0,1.7320508075688772,1.7320508075688772,1.7320508075688772,0.34641016151377546,0.0,0.0,0.0,,1.7925771069982868e-16,0.0,-3.2034265038149176e-16,1.1102230246251565e-16,0.6693638282588839,0.33562459807009454,0.18593608087928193,0.17993735887762716
