t,h,hD,h_over_R,J_AB,J_BC,J_AC,J_CD,comm_max,J_tot,J_rho_exp,eta,I3,I3_minus,S_ABC,S_L,P_pair,N_pair_sum,N_tri_geom,N_tri_min,theta,phi,sign_label,sign_AB,sign_BC,sign_AC,J_tri_norm,J_tot_analytic
0.02,0.4330127018922193,0.4330127018922193,0.25,0.28567448691205916,0.0,1.7083296191097115,0.34641016151377546,2.1213203435596424,0.32475952641916445,0.06448271943582685,0.19855528226322003,-1.977113767778713e-09,1.977113767778713e-09,9.946101152409075e-08,6.7223645539016275e-09,0.01984341089882121,0.032914670940540854,0.015690949618364834,0.0046323803291450595,0.1,0.0,anti_like_all_positive,1.0,1.0,1.0,1.7320508075688772,0.32475952641916445
0.02,0.4330127018922193,0.4330127018922193,0.25,0.28470827072336585,0.018873279937128458,1.7083866658008442,0.34641016151377546,2.121194403857558,0.32475952641916445,0.06438248158940964,0.19824662974262286,-1.7351943938368603e-09,1.7351943938368603e-09,9.946105339042631e-08,6.722367551503794e-09,0.019843812009495157,0.03301897531446066,0.01568768452064275,0.004629250764324274,0.1,0.08267349088394192,anti_like_all_positive,1.0,1.0,1.0,1.7320508075688772,0.32475952641916445
0.02,0.4330127018922193,0.4330127018922193,0.25,0.2818156461362531,0.037621371114603154,1.7085562835412427,0.34641016151377546,2.1208198765225643,0.3247595264191644,0.06430024602762796,0.19799340988272096,-1.0146680158811923e-09,1.0146680158811923e-09,9.946109432103727e-08,6.7223703270613555e-09,0.019844942662434917,0.03323047090029103,0.015677795721771203,0.004619807245670352,0.1,0.16534698176788384,anti_like_all_positive,1.0,1.0,1.0,1.7320508075688772,0.32475952641916445
0.02,0.4330127018922193,0.4330127018922193,0.25,0.27701467827526033,0.05611971494615619,1.7088339432532396,0.34641016151377546,2.120206562198962,0.32475952641916445,0.06423662727094287,0.19779751491580014,1.7778244507080854e-10,0.0,9.946113283156009e-08,6.7223732136412195e-09,0.019846770856580057,0.03345383513390591,0.01566146979615346,0.004604262371489634,0.1,0.24802047265182575,anti_like_all_positive,1.0,1.0,1.0,1.7320508075688772,0.32475952641916445
0.02,0.4330127018922193,0.4330127018922193,0.25,0.2703354510722172,0.0742450220615797,1.7092122222218795,0.34641016151377546,2.119370546895613,0.3247595264191644,0.06419204552689377,0.19766023874551916,1.8305051094465724e-09,0.0,9.946117051401268e-08,6.722375989198781e-09,0.019849244840334748,0.03365852944094336,0.015639020939925745,0.004582969441248731,0.1,0.3306939635357677,anti_like_all_positive,1.0,1.0,1.0,1.732050807568877,0.32475952641916445
0.02,0.4330127018922193,0.4330127018922193,0.25,0.2618200238056534,0.09187592831899757,1.7096809903984806,0.34641016151377546,2.118333831267698,0.32475952641916445,0.06416672309502694,0.19758226587695993,3.926092224794015e-09,0.0,9.946120938054515e-08,6.7223779876002254e-09,0.01985229471008345,0.03383380847483954,0.015610893739388917,0.00455641921442361,0.1,0.4133674544197096,anti_like_all_positive,1.0,1.0,1.0,1.7320508075688772,0.32475952641916445
0.02,0.4330127018922193,0.4330127018922193,0.25,0.2515223575453269,0.10889367438199334,1.7102276665211649,0.34641016151377546,2.117123815821687,0.3247595264191644,0.06416068347055005,0.19756366865659977,6.440301964606444e-09,0.0,9.946124543514346e-08,6.722381318269299e-09,0.01985583455856419,0.03397467940263627,0.015577666015640335,0.0045252348778215944,0.1,0.4960409453036515,anti_like_all_positive,1.0,1.0,1.0,1.7320508075688772,0.32475952641916445
0.02,0.4330127018922193,0.4330127018922193,0.25,0.2395081996757785,0.12518281328202477,1.7108375392032014,0.34641016151377546,2.1157726472587255,0.32475952641916445,0.06417375326042897,0.1976039131723589,9.340692802542553e-09,0.0,9.946127977644168e-08,6.7223835387153485e-09,0.019859765094018354,0.034078291136227276,0.015540050708891619,0.004490164750022689,0.1,0.5787144361875934,anti_like_all_positive,1.0,1.0,1.0,1.7320508075688774,0.32475952641916445
0.02,0.4330127018922193,0.4330127018922193,0.25,0.22585491253063858,0.14063194764221554,1.7114941465830766,0.34641016151377546,2.114316433969507,0.3247595264191644,0.06420556699519613,0.19770187407012824,1.258512019623186e-08,0.0,9.946130972151584e-08,6.722385981206003e-09,0.01986397663436832,0.03414282689709012,0.015498895481989152,0.004452072151603145,0.1,0.6613879270715354,anti_like_all_positive,1.0,1.0,1.0,1.732050807568877,0.32475952641916445
0.02,0.4330127018922193,0.4330127018922193,0.25,0.21065123090375107,0.15513449505900329,1.7121797065032405,0.34641016151377546,2.112794342254868,0.32475952641916445,0.06425557487398038,0.1978558584022759,1.6120085795084184e-08,0.0,9.946133964806515e-08,6.722387868585145e-09,0.01986835236711367,0.03416710994892121,0.01545517848145481,0.004411921809966631,0.1,0.7440614179554773,anti_like_all_positive,1.0,1.0,1.0,1.7320508075688772,0.32475952641916445
0.02,0.4330127018922193,0.4330127018922193,0.25,0.1939969329454111,0.16858947668998295,1.7128755875302712,0.34641016151377546,2.1112475891103104,0.3247595264191645,0.06432305341878859,0.19806363843432678,1.987923836207263e-08,0.0,9.946136676142793e-08,6.7223895339196815e-09,0.019872771758163606,0.034150454560708615,0.015409998542910117,0.004370762170955772,0.1,0.8267349088394192,anti_like_all_positive,1.0,1.0,1.0,1.7320508075688776,0.32475952641916445
0.02,0.4330127018922193,0.4330127018922193,0.25,0.17600240978820547,0.18090232057496608,1.7135628095168665,0.34641016151377546,2.110339955462891,0.32475952641916445,0.06440711893810352,0.19832249310209238,2.3782149653427082e-08,0.0,9.946139157176871e-08,6.722391532321126e-09,0.019877113989993984,0.03409261903901231,0.015364558132330564,0.004329703084317393,0.1,0.9094083997233612,anti_like_all_positive,1.0,1.0,1.0,1.7320508075688772,0.32475952641916445
0.02,0.4330127018922193,0.4330127018922193,0.25,0.15678812120609367,0.19198566783965457,1.7142225609274966,0.34641016151377546,2.1126112343668426,0.32475952641916445,0.06450674361230829,0.19862925754193264,2.773361615680496e-08,0.0,9.946141300816129e-08,6.72239353072257e-09,0.019881261314075395,0.03399381596936009,0.015320137557561394,0.0042898885464818515,0.1,0.992081890607303,anti_like_all_positive,1.0,1.0,1.0,1.7320508075688772,0.32475952641916445
0.02,0.4330127018922193,0.4330127018922193,0.25,0.13648392765414022,0.20176016692505644,1.7148367189136327,0.34641016151377546,2.1147241442415483,0.32475952641916445,0.06462077391878612,0.19898037982534997,3.1623902974724905e-08,0.0,9.946143178261242e-08,6.722394196856385e-09,0.019885102212689583,0.033854777409084366,0.015278059539688313,0.004252464545932542,0.1,1.074755381491245,anti_like_all_positive,1.0,1.0,1.0,1.7320508075688774,0.32475952641916445
0.02,0.4330127018922193,0.4330127018922193,0.25,0.11522829305203337,0.21015523857501198,1.7153883572473594,0.34641016151377546,2.1166208117469862,0.3247595264191644,0.06474795101856372,0.19937198373357054,3.532994994380204e-08,0.0,9.946144807663763e-08,6.722395418101712e-09,0.019888534281461763,0.03367691440378672,0.015239644167969742,0.004218542569909498,0.1,1.1574288723751869,anti_like_all_positive,1.0,1.0,1.0,1.7320508075688772,0.32475952641916445
0.02,0.4330127018922193,0.4330127018922193,0.25,0.09316735747344919,0.217109792702559,1.7158622268160302,0.34641016151377546,2.1182492217045947,0.3247595264191644,0.06488693263572569,0.19979993612866853,3.871773532445009e-08,0.0,9.946146236758611e-08,6.722396639347039e-09,0.019891466765042685,0.033462705183034555,0.015206155537428172,0.004189159970811474,0.1,1.2401023632591288,anti_like_all_positive,1.0,1.0,1.0,1.7320508075688772,0.32475952641916445
0.02,0.4330127018922193,0.4330127018922193,0.25,0.07045388422575447,0.22257287760797867,1.716245193540482,0.34641016151377546,2.119564666457774,0.32475952641916445,0.06503631588251121,0.20025991723663675,4.164548888176953e-08,0.0,9.946147163831506e-08,6.722397416503156e-09,0.019893822701520507,0.03321676824144166,0.015178742889279492,0.004165239087101848,0.1,1.3227758541430708,anti_like_all_positive,1.0,1.0,1.0,1.732050807568877,0.32475952641916445
0.02,0.4330127018922193,0.4330127018922193,0.25,0.047246091332729986,0.22650424244515607,1.7165266193706772,0.34641016151377546,2.1205309972458948,0.32475952641916445,0.06519466042365855,0.20074749197506941,4.396632066179708e-08,0.0,9.946147993529687e-08,6.722397749570064e-09,0.019895540653030133,0.03294946600546673,0.015158380581073026,0.0041475476503566745,0.1,1.4054493450270127,anti_like_all_positive,1.0,1.0,1.0,1.7320508075688774,0.32475952641916445
0.02,0.4330127018922193,0.4330127018922193,0.25,0.023706382811708976,0.2288747953648487,1.7166986734603957,0.34641016151377546,2.121121639869099,0.3247595264191644,0.0653605113388554,0.20125818035125206,4.555055587789541e-08,0.0,9.946148514033053e-08,6.7223986377484835e-09,0.01989657604175555,0.03269229649415127,0.01514581237306496,0.004136663443359988,0.1,1.4881228359109546,anti_like_all_positive,1.0,1.0,1.0,1.732050807568877,0.32475952641916445
0.02,0.4330127018922193,0.4330127018922193,0.25,1.7578805364390102e-17,0.2296669423592716,1.7167565627040264,0.34641016151377546,2.1213203435596424,0.3247595264191645,0.06553242103615953,0.20178752493799784,4.613256161971358e-08,0.0,9.946148668210664e-08,6.722398526726181e-09,0.019896901908182562,0.03255999447136363,0.015141505934477656,0.004132946236604932,0.1,1.5707963267948966,anti_like_all_positive,1.0,1.0,1.0,1.7320508075688776,0.32475952641916445
