h_over_R,h,t,N,sign_label,corr_J_rho_exp,corr_eta,corr_S_L,corr_P_pair,corr_N_pair_sum,corr_J_tot,std_J_tot,mean_J_tot,J_tot_analytic,max_I3_minus,mean_I3_minus,median_I3_minus,max_J_rho_exp,mean_J_rho_exp,mean_S_ABC,mean_S_L,mean_P_pair,mean_N_pair_sum
0.25,0.4330127018922193,0.02,400,anti_like_all_positive,-0.4822480928203476,-0.4822480928203469,,-0.6720483028745768,-0.2067376319917484,,8.423257039365817e-17,0.3247595264191645,0.32475952641916445,4.7831514366682255e-08,1.586232261484628e-08,6.428554342268902e-09,0.06553242103615953,0.03163190989311613,9.946511942218224e-08,6.722656401281224e-09,0.020644954085853186,0.04210469908995103
0.25,0.4330127018922193,0.04,400,anti_like_all_positive,-0.5016543662581906,-0.5016543662581905,0.2383512894164252,-0.6773492560403055,-0.19259652588816442,,8.423257039365817e-17,0.3247595264191645,0.32475952641916445,6.70310375342268e-07,2.2605475283433695e-07,9.81990499316632e-08,0.0675159605753305,0.032852897869893455,1.3816644827717177e-06,1.0800544709810289e-07,0.06911467391023303,0.08284233909100253
0.25,0.4330127018922193,0.06,400,anti_like_all_positive,-0.5174846101946651,-0.5174846101946652,0.25894206700689343,-0.6803233120705963,-0.18149858372678632,,8.423257039365817e-17,0.3247595264191645,0.32475952641916445,3.1176812399106655e-06,1.0656865653900524e-06,4.849461632452004e-07,0.06933970297472099,0.03399451759789887,6.377469283786077e-06,5.488400111075543e-07,0.1376957606047652,0.12210117168466655
0.25,0.4330127018922193,0.08,400,anti_like_all_positive,-0.5307388045273549,-0.5307388045273556,0.27948986892027816,-0.6794154739620571,-0.1715901772012033,,8.423257039365817e-17,0.3247595264191645,0.32475952641916445,9.257741780183582e-06,3.2019853457327645e-06,1.5181437683342073e-06,0.07100105240793603,0.03505716863432967,1.877584213919725e-05,1.7405388496744001e-06,0.22207197660176667,0.15976146052742565
0.25,0.4330127018922193,0.1,400,anti_like_all_positive,-0.5417020855250876,-0.5417020855250875,0.29989337562479523,-0.6738684351914389,-0.16221346510455614,,8.423257039365817e-17,0.3247595264191645,0.32475952641916445,2.1563319482013466e-05,7.527227477400409e-06,3.7101397104836775e-06,0.0724983541041761,0.036036113331271664,4.322621243310756e-05,4.262384979921985e-06,0.31903457958423026,0.19569902813663606
0.25,0.4330127018922193,0.14,400,anti_like_all_positive,-0.5582643865346112,-0.558264386534612,0.34014472832264897,-0.6473112584242584,-0.14421578795292292,,8.423257039365817e-17,0.3247595264191645,0.32475952641916445,7.712507755555856e-05,2.7487036291703966e-05,1.4526366115920407e-05,0.07499882874886746,0.037749669193425046,0.00015086036511051843,1.6457114501745584e-05,0.5405214108105144,0.26190738507715866
0.25,0.4330127018922193,0.18,400,anti_like_all_positive,-0.5695028199965012,-0.5695028199965013,0.3792003386818226,-0.6004480791750226,-0.12657458820549164,,8.423257039365817e-17,0.3247595264191645,0.32475952641916445,0.00020006350715567742,7.307891901806069e-05,4.199820270393731e-05,0.07684614795175203,0.039153177275932524,0.0003808829223473038,4.513230378451416e-05,0.7847414103124564,0.31975964137848556
0.25,0.4330127018922193,0.21999999999999997,400,anti_like_all_positive,-0.5774232516066465,-0.5774232516066468,0.4161727560875508,-0.5364125535235742,-0.10929444635923077,,8.423257039365817e-17,0.3247595264191645,0.32475952641916445,0.0004320185446090159,0.00016141012584621614,0.00010072916406265889,0.07809816148678006,0.04027255053144065,0.0007931725850753809,0.00010092679996980548,1.0376152498762707,0.3683811482111457
0.25,0.4330127018922193,0.26,400,anti_like_all_positive,-0.5837788218628752,-0.5837788218628753,0.44989901692820666,-0.4600854496782227,-0.09406565404199956,,8.423257039365817e-17,0.3247595264191645,0.32475952641916445,0.0008256264941495484,0.00031572110205711393,0.0002166410237079339,0.07883641078977857,0.04111239218399053,0.0014532869650668938,0.00019701087583592043,1.2874470190320448,0.4070451062032248
0.25,0.4330127018922193,0.3,400,anti_like_all_positive,-0.5892543875827274,-0.5892543875827275,0.479391726890108,-0.37633365811581454,-0.08394366287122144,,8.423257039365817e-17,0.3247595264191645,0.32475952641916445,0.0014476163485098552,0.0005666244151707106,0.00041454437705708063,0.07907066120813228,0.041663282547082604,0.0024301750067045537,0.0003489239072483896,1.5245982384068513,0.4352284760193246
0.25,0.4330127018922193,0.3277777777777778,400,anti_like_all_positive,-0.593868890190773,-0.5938688901907733,0.497200940549943,-0.3156180543747457,-0.08235239024367949,,8.423257039365817e-17,0.3247595264191645,0.32475952641916445,0.0020619897343953568,0.000818446211409081,0.0006270905564477985,0.07895126800175185,0.041891416947147465,0.0033320928639008806,0.0004965384086944192,1.6776809174686809,0.44848527133497595
0.25,0.4330127018922193,0.35555555555555557,400,anti_like_all_positive,-0.6003066358533594,-0.6003066358533595,0.5122680955289037,-0.2543351081090331,-0.09003610477924802,,8.423257039365817e-17,0.3247595264191645,0.32475952641916445,0.0028556659075460013,0.001151173270493947,0.0009388025521855276,0.07872831639759624,0.04198945416627012,0.0044441766885615994,0.0006860530983429894,1.8188543200468323,0.4565636506817246
0.25,0.4330127018922193,0.3833333333333333,400,anti_like_all_positive,-0.6069220901528529,-0.6069220901528531,0.5242946758908626,-0.19342672521862236,-0.11351252924674743,,8.423257039365817e-17,0.3247595264191645,0.32475952641916445,0.0038654203437452194,0.0015818481524723193,0.0013000908318427343,0.07832497140966842,0.04190188998633022,0.005789547064484038,0.0009243494833942301,1.9465074252333578,0.4595654162488462
0.25,0.4330127018922193,0.4111111111111111,400,anti_like_all_positive,-0.613946098168783,-0.6139460981687821,0.5333452554604479,-0.1332721851948879,-0.15645523452736748,,8.423257039365817e-17,0.3247595264191645,0.32475952641916445,0.005138189552762127,0.002129243916976049,0.0018053120615923609,0.07772997454556227,0.04161356940933054,0.007390726628022633,0.001218662417655106,2.0594499223897142,0.45770858655693947
0.25,0.4330127018922193,0.4388888888888889,400,anti_like_all_positive,-0.6213905144497742,-0.6213905144497737,0.5392547805175867,-0.07464474441914226,-0.19370766423163804,,8.423257039365817e-17,0.3247595264191645,0.32475952641916445,0.006685546987416049,0.002811796399576966,0.0024399133556837864,0.07695649191111506,0.04112153392507901,0.009269436190439686,0.0015765311752217062,2.156898197451087,0.4513596285419891
0.25,0.4330127018922193,0.4666666666666667,400,anti_like_all_positive,-0.6289108115182832,-0.6289108115182838,0.5417169682122722,-0.018163553905186022,-0.19412397238316262,,8.423257039365817e-17,0.3247595264191645,0.32475952641916445,0.008523299573178574,0.0036473078418229475,0.0033266738468686946,0.07602596220194842,0.040428911860643346,0.01144641739908351,0.002005749289839758,2.2384565044562055,0.44109603599954417
0.25,0.4330127018922193,0.49444444444444446,400,anti_like_all_positive,-0.6363442398581572,-0.6363442398581571,0.5407576646418629,0.03612048197716861,-0.18789246298394133,,8.423257039365817e-17,0.3247595264191645,0.32475952641916445,0.010713573180698373,0.004653023240677641,0.004480333320404718,0.0749681817205192,0.039543119373161476,0.01394128089907729,0.002514313693261516,2.304092935854398,0.42789601275701555
