t,h,hD,h_over_R,J_AB,J_BC,J_AC,J_CD,comm_max,J_tot,J_rho_exp,eta,I3,I3_minus,S_ABC,S_L,P_pair,N_pair_sum,N_tri_geom,N_tri_min,regime_label,description,sign,sign_label,lambda_h_over_Jbar,Jbar_RMS,R_internal_norm,theta,phi,J_tri_norm,include_D_transverse,env_label,J_tot_analytic
0.02,0.25,0.25,0.25,-0.1729165499254989,-0.0,-1.7233977680042012,0.2,1.224744871391589,0.10825317547305482,0.021643121507033396,0.19993059245103217,-9.647831734800728e-11,9.647831734800728e-11,1.2214496828215e-08,7.456149031526138e-10,0.01969245367553259,0.03127520796283069,0.013284495829086095,0.002799803415202922,ferro_interaction_dominated,"ferromagnetic-like, interaction-dominated",-1.0,ferro_like_all_negative,0.25,1.0,1.7320508075688772,0.1,0.0,1.7320508075688772,True,D_with_TF,0.10825317547305482
0.02,0.25,0.25,0.25,-0.17232595223996583,-0.014279335514181575,-1.7233977680042012,0.2,1.224703249888983,0.10825317547305482,0.021606308062132797,0.19959052441386163,-5.100831668064391e-11,5.100831668064391e-11,1.2214494028010393e-08,7.456147921303113e-10,0.01969278646327234,0.03133735262197506,0.013288025476873478,0.002802014867040258,ferro_interaction_dominated,"ferromagnetic-like, interaction-dominated",-1.0,ferro_like_all_negative,0.25,1.0,1.7320508075688772,0.1,0.08267349088394192,1.7320508075688772,True,D_with_TF,0.10825317547305482
0.02,0.25,0.25,0.25,-0.170558193564417,-0.028461128687745557,-1.7233977680042012,0.2,1.2245795123538976,0.10825317547305482,0.02157284313381747,0.1992813886479214,8.389640101117968e-11,0.0,1.2214492109492808e-08,7.456147921303113e-10,0.019693793966423158,0.031478224481903155,0.013298580664360828,0.0028086332385660368,ferro_interaction_dominated,"ferromagnetic-like, interaction-dominated",-1.0,ferro_like_all_negative,0.25,1.0,1.7320508075688772,0.1,0.16534698176788384,1.7320508075688772,True,D_with_TF,0.10825317547305482
0.02,0.25,0.25,0.25,-0.16762534948309013,-0.04244850349316741,-1.7233977680042012,0.2,1.224377009860768,0.10825317547305482,0.0215430069915993,0.19900577417206153,3.030522649274043e-10,0.0,1.2214489117415482e-08,7.45614459063404e-10,0.01969544796429535,0.031640016807403304,0.013315794236651142,0.0028194479050920383,ferro_interaction_dominated,"ferromagnetic-like, interaction-dominated",-1.0,ferro_like_all_negative,0.25,1.0,1.7320508075688772,0.1,0.24802047265182575,1.7320508075688772,True,D_with_TF,0.10825317547305482
0.02,0.25,0.25,0.25,-0.16354745429492545,-0.05614591197751464,-1.7233977680042012,0.2,1.2241012287732198,0.10825317547305482,0.021517053301008733,0.19876602424807868,5.982450732093704e-10,0.0,1.2214487891550209e-08,7.456146811080089e-10,0.01969770223000509,0.03179672917031183,0.013339076258362507,0.002834117989023833,ferro_interaction_dominated,"ferromagnetic-like, interaction-dominated",-1.0,ferro_like_all_negative,0.25,1.0,1.7320508075688772,0.1,0.3306939635357677,1.7320508075688772,True,D_with_TF,0.10825317547305482
0.02,0.25,0.25,0.25,-0.15835236415898946,-0.06945978695184966,-1.7233977680042012,0.2,1.223759645109407,0.10825317547305482,0.021495205946887464,0.19856420703555078,9.5879483506675e-10,0.0,1.2214487162902381e-08,7.456146811080089e-10,0.019700493917976302,0.03193770067017285,0.01336764589620544,0.002852187490828389,ferro_interaction_dominated,"ferromagnetic-like, interaction-dominated",-1.0,ferro_like_all_negative,0.25,1.0,1.7320508075688772,0.1,0.4133674544197096,1.7320508075688772,True,D_with_TF,0.10825317547305482
0.02,0.25,0.25,0.25,-0.15207556680866266,-0.08229918115000617,-1.7233977680042012,0.2,1.2233615256296968,0.10825317547305482,0.021477656147739724,0.19840208893535602,1.3722810669333103e-09,0.0,1.2214482495262678e-08,7.45614237018799e-10,0.01970374543173324,0.03205787290206326,0.01340057119198456,0.002873104630889164,ferro_interaction_dominated,"ferromagnetic-like, interaction-dominated",-1.0,ferro_like_all_negative,0.25,1.0,1.7320508075688772,0.1,0.4960409453036515,1.7320508075688772,True,D_with_TF,0.10825317547305482
0.02,0.25,0.25,0.25,-0.1447599391344366,-0.09457638849063628,-1.7233977680042012,0.2,1.2229176805370157,0.10825317547305484,0.021464559923701408,0.19828111119977376,1.8252717189423752e-09,0.0,1.2214481780632177e-08,7.456140149741941e-10,0.019707366701938303,0.03215447382663343,0.013436812900794022,0.002896243887387769,ferro_interaction_dominated,"ferromagnetic-like, interaction-dominated",-1.0,ferro_like_all_negative,0.25,1.0,1.7320508075688772,0.1,0.5787144361875934,1.7320508075688772,True,D_with_TF,0.10825317547305482
0.02,0.25,0.25,0.25,-0.13645545429127512,-0.10620754319867906,-1.7233977680042012,0.2,1.22244017394875,0.10825317547305482,0.021456035974525882,0.198202370330157,2.303964091488522e-09,0.0,1.2214480946576891e-08,7.456140149741941e-10,0.019711257793302017,0.03222585019762725,0.013475268764607697,0.0029209292326145735,ferro_interaction_dominated,"ferromagnetic-like, interaction-dominated",-1.0,ferro_like_all_negative,0.25,1.0,1.7320508075688772,0.1,0.6613879270715354,1.7320508075688772,True,D_with_TF,0.10825317547305482
0.02,0.25,0.25,0.25,-0.12721884033129385,-0.1171131926936428,-1.7233977680042012,0.2,1.2219419994617384,0.10825317547305484,0.021452164015941116,0.1981666027088577,2.794776122576683e-09,0.0,1.2214476763604611e-08,7.456140149741941e-10,0.01971531175262358,0.03227101392716834,0.013514815206513523,0.002946457231230783,ferro_interaction_dominated,"ferromagnetic-like, interaction-dominated",-1.0,ferro_like_all_negative,0.25,1.0,1.7320508075688772,0.1,0.7440614179554773,1.7320508075688772,True,D_with_TF,0.10825317547305482
0.02,0.25,0.25,0.25,-0.11711319269364281,-0.12721884033129385,-1.7233977680042012,0.2,1.2219419994617384,0.10825317547305484,0.02145298361303609,0.19817417382251223,3.284769459992262e-09,0.0,1.2214476544873761e-08,7.456135708849843e-10,0.019719417607700334,0.03228945592280569,0.013554344317491605,0.0029721189432058513,ferro_interaction_dominated,"ferromagnetic-like, interaction-dominated",-1.0,ferro_like_all_negative,0.25,1.0,1.7320508075688772,0.1,0.8267349088394192,1.7320508075688772,True,D_with_TF,0.10825317547305482
0.02,0.25,0.25,0.25,-0.10620754319867906,-0.13645545429127512,-1.7233977680042012,0.2,1.22244017394875,0.10825317547305482,0.021458493538302762,0.19822507233188713,3.761949641413345e-09,0.0,1.2214475162934548e-08,7.456132378180769e-10,0.01972346342821244,0.03228107886924207,0.01359279494604288,0.0029972198956257105,ferro_interaction_dominated,"ferromagnetic-like, interaction-dominated",-1.0,ferro_like_all_negative,0.25,1.0,1.7320508075688772,0.1,0.9094083997233612,1.7320508075688772,True,D_with_TF,0.10825317547305482
0.02,0.25,0.25,0.25,-0.0945763884906363,-0.1447599391344366,-1.7233977680042012,0.2,1.2229176805370157,0.10825317547305484,0.021468651669978016,0.19831890913280184,4.215369070127109e-09,0.0,1.2214473853192867e-08,7.456133488403793e-10,0.019727339363362687,0.03224620186970456,0.013629177535350435,0.003021097696670901,ferro_interaction_dominated,"ferromagnetic-like, interaction-dominated",-1.0,ferro_like_all_negative,0.25,1.0,1.7320508075688772,0.1,0.992081890607303,1.7320508075688772,True,D_with_TF,0.10825317547305482
0.02,0.25,0.25,0.25,-0.08229918115000619,-0.15207556680866266,-1.7233977680042012,0.2,1.2233615256296968,0.10825317547305482,0.021483375433832122,0.1984549214371963,4.6670741891031e-09,0.0,1.2214472589801058e-08,7.456133488403793e-10,0.01973094060914029,0.03218563792132583,0.013662592993352197,0.003043137125144289,ferro_interaction_dominated,"ferromagnetic-like, interaction-dominated",-1.0,ferro_like_all_negative,0.25,1.0,1.7320508075688772,0.1,1.074755381491245,1.7320508075688772,True,D_with_TF,0.10825317547305482
0.02,0.25,0.25,0.25,-0.06945978695184969,-0.15835236415898946,-1.7233977680042012,0.2,1.223759645109407,0.10825317547305482,0.02150254277899689,0.1986319817874448,5.035717062742136e-09,0.0,1.2214470956158626e-08,7.456135708849843e-10,0.019734170033041537,0.03210089299247697,0.013692246301487522,0.003062782722948773,ferro_interaction_dominated,"ferromagnetic-like, interaction-dominated",-1.0,ferro_like_all_negative,0.25,1.0,1.7320508075688772,0.1,1.1574288723751869,1.7320508075688772,True,D_with_TF,0.10825317547305482
0.02,0.25,0.25,0.25,-0.05614591197751466,-0.16354745429492545,-1.7233977680042012,0.2,1.2241012287732198,0.10825317547305482,0.02152599366627557,0.1988486118047741,5.355277658601104e-09,0.0,1.2214470580582998e-08,7.456129047511695e-10,0.019736940915477442,0.03199463350784715,0.013717455786073578,0.003079549044390198,ferro_interaction_dominated,"ferromagnetic-like, interaction-dominated",-1.0,ferro_like_all_negative,0.25,1.0,1.7320508075688772,0.1,1.2401023632591288,1.7320508075688772,True,D_with_TF,0.10825317547305482
0.02,0.25,0.25,0.25,-0.04244850349316743,-0.16762534948309013,-1.7233977680042012,0.2,1.224377009860768,0.10825317547305482,0.02155353203606215,0.19910300036812328,5.618706409547545e-09,0.0,1.2214470027117628e-08,7.456133488403793e-10,0.01973917902229926,0.031871840229481606,0.013737659033925412,0.003093028783402333,ferro_interaction_dominated,"ferromagnetic-like, interaction-dominated",-1.0,ferro_like_all_negative,0.25,1.0,1.7320508075688772,0.1,1.3227758541430708,1.7320508075688772,True,D_with_TF,0.10825317547305482
0.02,0.25,0.25,0.25,-0.028461128687745575,-0.170558193564417,-1.7233977680042012,0.2,1.2245795123538976,0.10825317547305482,0.021584928212902033,0.1993930258265238,5.819223998548006e-09,0.0,1.2214469531342808e-08,7.456133488403793e-10,0.019740824534125394,0.03174286656815256,0.013752416378692244,0.0031028990204175523,ferro_interaction_dominated,"ferromagnetic-like, interaction-dominated",-1.0,ferro_like_all_negative,0.25,1.0,1.7320508075688772,0.1,1.4054493450270127,1.7320508075688772,True,D_with_TF,0.10825317547305482
0.02,0.25,0.25,0.25,-0.014279335514181587,-0.17232595223996583,-1.7233977680042012,0.2,1.224703249888983,0.10825317547305482,0.02161992169516449,0.19971628176898956,5.94944852890712e-09,0.0,1.2214467993925349e-08,7.456133488403793e-10,0.019741833554490384,0.031631286470877824,0.013761412759160443,0.0031089258177831314,ferro_interaction_dominated,"ferromagnetic-like, interaction-dominated",-1.0,ferro_like_all_negative,0.25,1.0,1.7320508075688772,0.1,1.4881228359109546,1.7320508075688772,True,D_with_TF,0.10825317547305482
0.02,0.25,0.25,0.25,-1.0588084969293287e-17,-0.1729165499254989,-1.7233977680042012,0.2,1.224744871391589,0.10825317547305482,0.021658224271501735,0.200070105813133,5.998571665061104e-09,0.0,1.2214469118065764e-08,7.456133488403793e-10,0.01974217920749887,0.031583296712427385,0.013764458587972426,0.003110967357703594,ferro_interaction_dominated,"ferromagnetic-like, interaction-dominated",-1.0,ferro_like_all_negative,0.25,1.0,1.7320508075688772,0.1,1.5707963267948966,1.7320508075688772,True,D_with_TF,0.10825317547305482
0.02,0.25,0.25,0.25,-0.30567431560551706,-0.0,-1.704864573149169,0.2,1.224744871391589,0.10825317547305482,0.02108597300423196,0.19478387504189607,-2.838699835024048e-10,2.838699835024048e-10,1.2214492264423371e-08,7.456152362195212e-10,0.0197636458588598,0.03309760058505,0.016001071151976066,0.004949285997599592,ferro_interaction_dominated,"ferromagnetic-like, interaction-dominated",-1.0,ferro_like_all_negative,0.25,1.0,1.7320508075688772,0.17741033298920508,0.0,1.7320508075688772,True,D_with_TF,0.10825317547305482
0.02,0.25,0.25,0.25,-0.304630282842885,-0.025242384910406736,-1.704864573149169,0.2,1.2246148010709395,0.10825317547305482,0.021017499300253727,0.19415134205910817,-2.322076065774524e-10,2.322076065774524e-10,1.2214488870728222e-08,7.456145700857064e-10,0.01976463112780091,0.033277905569000205,0.01600542107304176,0.004953195016774061,ferro_interaction_dominated,"ferromagnetic-like, interaction-dominated",-1.0,ferro_like_all_negative,0.25,1.0,1.7320508075688772,0.17741033298920508,0.08267349088394192,1.7320508075688772,True,D_with_TF,0.10825317547305482
