t,h,J_AB,J_BC,J_AC,J_CD,include_D_transverse,J_tot,J_rho_exp,eta,I3,I3_minus,S_ABC,S_L,P_pair,N_pair_sum,N_tri_geom,N_tri_min,regime_label,description,sign,sign_label,lambda_h_over_Jbar,Jbar_RMS,R_internal_norm,theta,phi,J_tri_norm,env_label,J_tot_analytic
0.02,1.0,-0.1729165499254989,-0.0,-1.7233977680042012,0.2,True,1.7320508075688772,0.35699247743577167,0.2061097029462142,-1.32101220484701e-09,1.32101220484701e-09,1.7278255142366675e-07,1.2018456674312006e-08,0.020062753518873704,0.031594198756263014,0.013406098434034902,0.002816710717710394,FM_near_critical_like,"ferromagnetic-like, near-critical-like finite-size regime",-1.0,FM_like_all_negative,1.0,1.0,1.7320508075688772,0.1,0.0,1.7320508075688772,D_with_TF,1.7320508075688772
0.02,1.0,-0.17232595223996583,-0.014279335514181575,-1.7233977680042012,0.2,True,1.7320508075688772,0.3564193749347346,0.2057788220629672,-8.004037453938508e-10,8.004037453938508e-10,1.7278243709878367e-07,1.2018448458661624e-08,0.020063044416178323,0.03165492913754529,0.01340933516960593,0.002818734934974652,FM_near_critical_like,"ferromagnetic-like, near-critical-like finite-size regime",-1.0,FM_like_all_negative,1.0,1.0,1.7320508075688772,0.1,0.08267349088394192,1.7320508075688772,D_with_TF,1.7320508075688772
0.02,1.0,-0.170558193564417,-0.028461128687745557,-1.7233977680042012,0.2,True,1.7320508075688772,0.3558986174241464,0.20547816257404658,7.55720806859419e-10,0.0,1.7278232002935616e-07,1.2018439798922032e-08,0.020063983282684696,0.03179380623723587,0.013419293519720191,0.002824961957645193,FM_near_critical_like,"ferromagnetic-like, near-critical-like finite-size regime",-1.0,FM_like_all_negative,1.0,1.0,1.7320508075688772,0.1,0.16534698176788384,1.7320508075688772,D_with_TF,1.7320508075688772
0.02,1.0,-0.16762534948309013,-0.04244850349316741,-1.7233977680042012,0.2,True,1.7320508075688772,0.35543453552933774,0.20521022476715275,3.2926310408623384e-09,0.0,1.7278220710062656e-07,1.2018431694293952e-08,0.02006554370134986,0.03195413619019411,0.013435630877993347,0.002835195104722664,FM_near_critical_like,"ferromagnetic-like, near-critical-like finite-size regime",-1.0,FM_like_all_negative,1.0,1.0,1.7320508075688772,0.1,0.24802047265182575,1.7320508075688772,D_with_TF,1.7320508075688772
0.02,1.0,-0.16354745429492545,-0.05614591197751464,-1.7233977680042012,0.2,True,1.7320508075688772,0.35503104635180965,0.20497727018189182,6.722979381954926e-09,0.0,1.727820954006874e-07,1.2018423256598965e-08,0.020067681962282972,0.03210978230717505,0.013457792994352277,0.0028491140435528963,FM_near_critical_like,"ferromagnetic-like, near-critical-like finite-size regime",-1.0,FM_like_all_negative,1.0,1.0,1.7320508075688772,0.1,0.3306939635357677,1.7320508075688772,D_with_TF,1.7320508075688772
0.02,1.0,-0.15835236415898946,-0.06945978695184966,-1.7233977680042012,0.2,True,1.7320508075688772,0.3546916050929319,0.20478129367970468,1.0932286823882227e-08,0.0,1.7278198650454843e-07,1.2018415151970885e-08,0.02007033837514531,0.03224988449348211,0.013485043226410183,0.00286628873491139,FM_near_critical_like,"ferromagnetic-like, near-critical-like finite-size regime",-1.0,FM_like_all_negative,1.0,1.0,1.7320508075688772,0.1,0.4133674544197096,1.7320508075688772,D_with_TF,1.7320508075688772
0.02,1.0,-0.15207556680866266,-0.08229918115000617,-1.7233977680042012,0.2,True,1.7320508075688772,0.35441916112593785,0.20462399808202159,1.578571331202494e-08,0.0,1.7278188167625674e-07,1.2018407602454317e-08,0.02007343904334176,0.03236926931637665,0.013516499267142067,0.0028861973556891687,FM_near_critical_like,"ferromagnetic-like, near-critical-like finite-size regime",-1.0,FM_like_all_negative,1.0,1.0,1.7320508075688772,0.1,0.4960409453036515,1.7320508075688772,D_with_TF,1.7320508075688772
0.02,1.0,-0.1447599391344366,-0.09457638849063628,-1.7233977680042012,0.2,True,1.7320508075688774,0.3542161194564967,0.204506771919513,2.113522644089138e-08,0.0,1.7278178243918573e-07,1.2018399941915447e-08,0.020076898033474438,0.0324651040095546,0.013551173925765969,0.002908246845721295,FM_near_critical_like,"ferromagnetic-like, near-critical-like finite-size regime",-1.0,FM_like_all_negative,1.0,1.0,1.7320508075688772,0.1,0.5787144361875934,1.7320508075688772,D_with_TF,1.7320508075688772
0.02,1.0,-0.13645545429127512,-0.10620754319867906,-1.7233977680042012,0.2,True,1.7320508075688772,0.3540843084196091,0.2044306707818838,2.6826382162729257e-08,0.0,1.7278168636653346e-07,1.2018393058532695e-08,0.020080619862527307,0.03253570420055823,0.013588016641659192,0.0029317947063154993,FM_near_critical_like,"ferromagnetic-like, near-critical-like finite-size regime",-1.0,FM_like_all_negative,1.0,1.0,1.7320508075688772,0.1,0.6613879270715354,1.7320508075688772,D_with_TF,1.7320508075688772
0.02,1.0,-0.12721884033129385,-0.1171131926936428,-1.7233977680042012,0.2,True,1.7320508075688774,0.35402495434004705,0.20439640268807113,3.270429208243462e-08,0.0,1.7278159742081654e-07,1.2018386841283757e-08,0.020084502219033,0.03258006760760469,0.013625952934140971,0.0029561708141618978,FM_near_critical_like,"ferromagnetic-like, near-critical-like finite-size regime",-1.0,FM_like_all_negative,1.0,1.0,1.7320508075688772,0.1,0.7440614179554773,1.7320508075688772,D_with_TF,1.7320508075688772
