lambda_h_over_Jbar,h,t,N_geometries,Delta_I3_mean,Delta_I3_median,Delta_I3_std,frac_geometry_frustrated_gt_non,Delta_mean_J_rho_exp_mean,Delta_mean_J_rho_exp_median,Delta_mean_S_L_mean,Delta_mean_S_L_median,Delta_mean_P_pair_mean,Delta_mean_P_pair_median,Delta_mean_N_pair_sum_mean,Delta_mean_N_pair_sum_median
0.75,0.75,0.1,196,-1.3450070591727507e-07,0.0,1.829577414009516e-07,0.00510204081632653,0.00727120364511508,0.005342066576184745,-2.1179877579660157e-12,-1.925085091336598e-12,0.0013806825617241438,0.001246654597973268,0.0007402256205156323,0.0007718547541487597
0.75,0.75,0.3,196,-7.758168004951735e-05,-1.651076722928896e-05,9.678604640339675e-05,0.015306122448979591,0.006430576468016272,0.003498724432890239,-1.0967060513418588e-08,-9.758300056894598e-09,0.047801279151910216,0.04369520312874242,0.003875360720486633,0.0038084989075626297
0.75,0.75,0.5,196,-0.0010391136155247147,-0.00045021196750448067,0.0013416311879355602,0.07653061224489796,-0.009811900431283643,-0.004757124774481411,9.84601065892287e-07,8.182871953227311e-07,0.1279463191389257,0.10827880447886717,-0.03593145575525324,-0.02641861425453343
0.75,0.75,0.9,196,-0.005700520233130493,-0.004907248557279283,0.009638534182455293,0.18877551020408162,-0.005389581925277661,0.000766220256296482,0.00025343461275322086,0.00017751689836299767,0.0650399204118273,0.043228440418793035,0.03317180696627769,0.027065319665724147
0.75,0.75,1.3,196,-0.017349159431709883,-0.016096035091988165,0.02794761733505509,0.22959183673469388,0.018982399561220054,0.01492817930119602,0.0023114991310715298,0.001214207964435332,0.12469608948053401,0.09736503981844724,0.03019268774057915,0.02435609346207987
0.75,0.75,2.0,196,-0.0009018395457769232,-0.002236514684616095,0.04870155117524947,0.4642857142857143,0.006826121400349519,0.008327865258090934,0.00783017837661198,0.003259183451419276,0.22733074618603177,0.2331945326264384,0.012339450041032029,0.009949809562010442
1.0,1.0,0.1,196,-3.0090213965129166e-07,0.0,4.0643664202090803e-07,0.00510204081632653,0.012547339896931397,0.00979419718209762,-5.859835151125475e-12,-5.324907181858407e-12,0.0018663456384603353,0.0016819347396447304,0.0009922790808261717,0.0010320025354539492
1.0,1.0,0.3,196,-0.00016339504810346947,-5.7805285131116275e-05,0.00020056147212011298,0.015306122448979591,0.0027242525339708115,0.00018251869487630884,1.1233705135758689e-08,9.15661724221195e-09,0.0642039483149128,0.05849837957111481,0.005866017479742873,0.00577292393521206
1.0,1.0,0.5,196,-0.0019324071153591685,-0.0009735217151875947,0.0023931234747727936,0.0663265306122449,-0.007727298989720036,-0.0012738790182927895,7.5682390041705105e-06,6.361896057821559e-06,0.17271938534152548,0.1473273035700624,-0.01622173021109943,-0.006390720828155366
1.0,1.0,0.9,196,-0.0072571914410098845,-0.005934598790111734,0.008670492395036386,0.14795918367346939,0.005879458730771973,0.0068015476616652346,0.0008592617435702158,0.0006760801951893602,0.21397656911855537,0.17901648570422313,0.04630336192195181,0.03975943458203415
1.0,1.0,1.3,196,-0.018467865471974442,-0.01624842357195291,0.023867239071731244,0.2653061224489796,0.03712894464256656,0.030954095098691632,0.004501241382769162,0.003271937826905283,0.12110111770721667,0.06042521679738189,0.033552769294573764,0.021508582647128516
1.0,1.0,2.0,196,0.007736505745550419,0.005677901785096712,0.018664114159006224,0.5714285714285714,-0.010555701747521089,0.003493274662555626,0.002261657656133078,0.0010454907003102087,0.09956470733935187,0.09082749122568856,0.0082671628409271,0.0002547443886400935
