sample_id,ensemble,S_L,rho_AB,rho_AC,rho_BC,I_AB,I_AC,I_BC,P_pair,I3,I3_minus,S_ABC,eigvals,N_AB,N_AC,N_BC,N_pair_sum,N_A_BC,N_B_AC,N_C_AB,N_tri_min,N_tri_geom
0,haar4q_traceD,0.45057348756984006,"[[ 0.09821325+6.20112896e-19j -0.09980241+6.79951472e-03j
  -0.01561893-6.85861636e-02j -0.0183934 +4.87299458e-02j]
 [-0.09980241-6.79951472e-03j  0.23601314-3.12056680e-18j
  -0.12431024+1.65316185e-01j  0.07364069-1.00569543e-02j]
 [-0.01561893+6.85861636e-02j -0.12431024-1.65316185e-01j
   0.41754862-3.72170835e-18j  0.01430303-9.48493618e-02j]
 [-0.0183934 -4.87299458e-02j  0.07364069+1.00569543e-02j
   0.01430303+9.48493618e-02j  0.24822499-3.25804465e-18j]]","[[ 0.19876328+7.64676350e-19j -0.02756609-1.25682193e-01j
  -0.01577516-1.25680948e-01j  0.02163179-1.05301314e-01j]
 [-0.02756609+1.25682193e-01j  0.13546311-3.26513025e-18j
   0.01897504+2.62350219e-02j  0.07379691+4.70378299e-02j]
 [-0.01577516+1.25680948e-01j  0.01897504-2.62350219e-02j
   0.43709998-5.03691554e-18j  0.18564443-1.92184962e-02j]
 [ 0.02163179+1.05301314e-01j  0.07379691-4.70378299e-02j
   0.18564443+1.92184962e-02j  0.22867363-1.94283746e-18j]]","[[ 0.3788231 -9.92033390e-19j  0.08332886-2.75608696e-02j
  -0.0275272 +5.76302231e-02j -0.02390935-4.92966661e-02j]
 [ 0.08332886+2.75608696e-02j  0.13693877-2.10956207e-18j
   0.0230527 -9.48648576e-02j -0.05797218-1.45680070e-01j]
 [-0.0275272 -5.76302231e-02j  0.0230527 +9.48648576e-02j
   0.25704016-3.28020580e-18j  0.07474949-1.17339819e-01j]
 [-0.02390935+4.92966661e-02j -0.05797218+1.45680070e-01j
   0.07474949+1.17339819e-01j  0.22719797-3.09840565e-18j]]",0.4388753975179014,0.34930873201564516,0.35117899372594086,1.1393631232594874,-0.583972521611742,0.583972521611742,0.9274687141477771,"[ 6.57204504e-01  3.42795496e-01  6.87079698e-17  2.78422489e-17
  2.11312566e-17  2.23981962e-18 -8.11872011e-18 -7.98425177e-17]",0.08320657009132788,0.05622733088833845,0.010014741398949058,0.1494486423786154,0.30755770309943475,0.30122816102327876,0.31295264985902527,0.30122816102327876,0.30720876623237686
1,haar4q_traceD,0.2956273416914601,"[[ 0.30609371-3.10630980e-18j -0.09361819+6.20458200e-03j
  -0.01209275-1.00754224e-01j -0.01541187+2.33603328e-02j]
 [-0.09361819-6.20458200e-03j  0.29710035-3.97963206e-18j
  -0.15023792+1.27081481e-01j  0.01862928-1.44873228e-01j]
 [-0.01209275+1.00754224e-01j -0.15023792-1.27081481e-01j
   0.23025923-5.80571920e-19j  0.0117584 +8.60809017e-02j]
 [-0.01541187-2.33603328e-02j  0.01862928+1.44873228e-01j
   0.0117584 -8.60809017e-02j  0.1665467 -4.10302917e-19j]]","[[ 0.36739111-6.27170570e-18j  0.03494342-3.08476562e-02j
   0.08557628-2.07071731e-01j -0.08847578+8.03257921e-02j]
 [ 0.03494342+3.08476562e-02j  0.23580295-8.14236159e-19j
   0.13236775-2.32740475e-02j -0.07903975-3.85557215e-02j]
 [ 0.08557628+2.07071731e-01j  0.13236775+2.32740475e-02j
   0.25422725-8.98151955e-19j -0.1097874 -1.19829402e-01j]
 [-0.08847578-8.03257921e-02j -0.07903975+3.85557215e-02j
  -0.1097874 +1.19829402e-01j  0.14257868-9.27228827e-20j]]","[[ 0.31699432-2.70465819e-18j  0.06343928-9.08899835e-02j
  -0.18935836+3.78958683e-02j  0.12067244-7.05520030e-02j]
 [ 0.06343928+9.08899835e-02j  0.21935863-9.82223532e-19j
  -0.17173004-5.23247899e-02j  0.10749857+5.43896154e-02j]
 [-0.18935836-3.78958683e-02j -0.17173004+5.23247899e-02j
   0.30462405-4.46519947e-18j -0.13828326-5.97870743e-02j]
 [ 0.12067244+7.05520030e-02j  0.10749857-5.43896154e-02j
  -0.13828326+5.97870743e-02j  0.159023  +7.52644900e-20j]]",0.3618969941116501,0.4403000607974752,0.6254612035063103,1.4276582584154356,-0.4991333098004378,0.4991333098004378,0.6808072447547622,"[ 8.19665965e-01  1.80334035e-01  5.97407058e-17  4.59194608e-17
  1.05503150e-17  9.65579841e-19 -1.66367341e-17 -1.12704681e-16]",0.012376494267207674,0.08062445771326301,0.16583511044524657,0.2588360624257173,0.3356276090746676,0.35656524767286274,0.39123797439293473,0.3356276090746676,0.36042305586767126
2,haar4q_traceD,0.3973832785507785,"[[ 0.15325771-1.76459901e-19j  0.01001062+9.23457278e-02j
  -0.06830354-1.41951524e-01j -0.00940669+1.71419864e-02j]
 [ 0.01001062-9.23457278e-02j  0.14345607-1.42532032e-19j
  -0.07891517+2.01129858e-01j  0.00987247+2.60173496e-03j]
 [-0.06830354+1.41951524e-01j -0.07891517-2.01129858e-01j
   0.59850984+5.00204026e-18j -0.00732104+6.29467711e-02j]
 [-0.00940669-1.71419864e-02j  0.00987247-2.60173496e-03j
  -0.00732104-6.29467711e-02j  0.10477637-2.43077886e-19j]]","[[ 0.17392504-4.61166190e-19j  0.08719982+4.76872191e-02j
  -0.06498975-1.91150795e-01j -0.01671259+2.31409699e-02j]
 [ 0.08719982-4.76872191e-02j  0.12278874+1.42174256e-19j
  -0.13015258-3.69182195e-02j  0.00655868+5.18010056e-02j]
 [-0.06498975+1.91150795e-01j -0.13015258+3.69182195e-02j
   0.54433719+6.04374422e-18j  0.13194722+2.72129379e-02j]
 [-0.01671259-2.31409699e-02j  0.00655868-5.18010056e-02j
   0.13194722-2.72129379e-02j  0.15894903-1.28478185e-18j]]","[[ 5.90583698e-01+5.54688423e-18j  2.19510459e-01+9.53073073e-02j
  -7.79432503e-02+1.48174274e-01j  5.87009798e-02+2.08119667e-02j]
 [ 2.19510459e-01-9.53073073e-02j  1.61183856e-01-7.21303871e-19j
   3.15472555e-03+1.18707568e-01j  8.06328285e-02+7.11822516e-03j]
 [-7.79432503e-02-1.48174274e-01j  3.15472555e-03-1.18707568e-01j
   1.27678532e-01+3.56938031e-20j -3.63420844e-04-2.04071502e-02j]
 [ 5.87009798e-02-2.08119667e-02j  8.06328285e-02-7.11822516e-03j
  -3.63420844e-04+2.04071502e-02j  1.20553914e-01-4.21303721e-19j]]",0.43524962000271894,0.3395970869339682,0.4073493295749149,1.182196036511602,-0.1915263731011596,0.1915263731011596,0.8464231919797851,"[ 7.26513489e-01  2.73486511e-01  9.52884119e-17  1.61676436e-17
  5.72176584e-18 -2.81273781e-18 -1.79073842e-17 -3.67972509e-17]",0.11748318432228325,0.05538186281190328,0.0813529562324681,0.2542180033666546,0.20527447308726937,0.23757929312232956,0.2072056150142073,0.20527447308726937,0.21619634655018322
3,haar4q_traceD,0.28928088229388393,"[[ 0.21236064-1.31648088e-18j -0.01706452+2.06853958e-02j
  -0.00945087+2.15595115e-01j  0.10853519+6.61429048e-02j]
 [-0.01706452-2.06853958e-02j  0.19775159+1.17655480e-18j
  -0.00166954-1.72961345e-01j  0.01745145+3.76486471e-02j]
 [-0.00945087-2.15595115e-01j -0.00166954+1.72961345e-01j
   0.47117686-6.55283502e-20j  0.0339614 -1.04157753e-01j]
 [ 0.10853519-6.61429048e-02j  0.01745145-3.76486471e-02j
   0.0339614 +1.04157753e-01j  0.11871092-3.23553982e-18j]]","[[ 0.29106927+1.65927573e-18j  0.03633838+1.83876929e-02j
  -0.00158714+1.71591838e-01j -0.12375634+5.31848875e-02j]
 [ 0.03633838-1.83876929e-02j  0.11904295-1.79920181e-18j
   0.04020596+1.55194029e-01j  0.00958772+8.16519234e-02j]
 [-0.00158714-1.71591838e-01j  0.04020596-1.55194029e-01j
   0.37980288+9.75520797e-19j  0.08779709+1.66114381e-01j]
 [-0.12375634-5.31848875e-02j  0.00958772-8.16519234e-02j
   0.08779709-1.66114381e-01j  0.21008489-4.27658897e-18j]]","[[ 0.50846005+1.29230818e-18j  0.12630926+1.74845773e-01j
  -0.03475588-2.98151231e-02j  0.16487199-1.17766688e-01j]
 [ 0.12630926-1.74845773e-01j  0.17507745-2.67431741e-18j
  -0.07526159-1.87648702e-02j  0.05165275-5.36572342e-02j]
 [-0.03475588+2.98151231e-02j -0.07526159+1.87648702e-02j
   0.16241211+1.34248835e-18j -0.00217379+9.65630157e-03j]
 [ 0.16487199+1.17766688e-01j  0.05165275+5.36572342e-02j
  -0.00217379-9.65630157e-03j  0.1540504 -3.40147337e-18j]]",0.48292026233030594,0.3307317078626706,0.4578149269455749,1.2714668971385514,-0.47640553275831077,0.47640553275831077,0.6699291178843383,"[ 8.24591372e-01  1.75408628e-01  1.31088345e-16  1.22395368e-17
  8.38670882e-18  2.82130731e-18 -1.90879894e-17 -5.62788157e-17]",0.08136502538490231,0.0,0.0819726562983876,0.1633376816832899,0.32693458803137904,0.3442902840461997,0.32700363169975716,0.32693458803137904,0.33264377763790276
4,haar4q_traceD,0.3908306360869156,"[[ 0.13361577+9.63090795e-19j -0.03887579-7.57269748e-02j
  -0.04690345+7.60145599e-02j  0.12960732+6.87114186e-03j]
 [-0.03887579+7.57269748e-02j  0.20468395-4.92584017e-19j
   0.02267503-9.43129962e-02j -0.01349661+1.83615875e-02j]
 [-0.04690345-7.60145599e-02j  0.02267503+9.43129962e-02j
   0.47585063-4.22971847e-18j  0.07006197-7.41105762e-02j]
 [ 0.12960732-6.87114186e-03j -0.01349661-1.83615875e-02j
   0.07006197+7.41105762e-02j  0.18584965-5.35498150e-19j]]","[[ 0.15845098+9.55260221e-19j  0.0268441 +7.71769073e-02j
  -0.07819221+6.39089116e-02j -0.03777346-4.19254906e-02j]
 [ 0.0268441 -7.71769073e-02j  0.17984875-4.84753444e-19j
   0.03076069+2.12032703e-01j  0.01779215+3.04672357e-02j]
 [-0.07819221-6.39089116e-02j  0.03076069-2.12032703e-01j
   0.4505053 -1.60407984e-18j  0.00504438-9.09610368e-02j]
 [-0.03777346+4.19254906e-02j  0.01779215-3.04672357e-02j
   0.00504438+9.09610368e-02j  0.21119498-3.16113678e-18j]]","[[ 0.4630752 -7.15278002e-19j  0.01098953-2.81162521e-02j
   0.03659716-9.01841542e-02j  0.05028005-2.87494943e-01j]
 [ 0.01098953+2.81162521e-02j  0.1463912 -2.55134967e-18j
  -0.02023161+7.59483296e-02j -0.00541097-5.96533967e-02j]
 [ 0.03659716+9.01841542e-02j -0.02023161-7.59483296e-02j
   0.14588108+6.64583879e-20j  0.02089895+1.43321227e-02j]
 [ 0.05028005+2.87494943e-01j -0.00541097+5.96533967e-02j
   0.02089895-1.43321227e-02j  0.24465252-1.09454056e-18j]]",0.36636065912812166,0.41883903648572063,0.6472819722191592,1.4324816678330015,-0.4737757435162344,0.4737757435162344,0.8362021189633908,"[ 7.33633649e-01  2.66366351e-01  9.87352751e-17  2.55855375e-17
  6.71962510e-18 -6.26924132e-18 -3.75062717e-17 -9.94517584e-17]",0.0,0.07492278319469031,0.15247349563337717,0.22739627882806748,0.29261294201310645,0.3639832140283978,0.3455827899676621,0.29261294201310645,0.3326409131828938
5,haar4q_traceD,0.4279846481175942,"[[ 0.19652035+5.91072051e-19j  0.00876563+5.28016213e-02j
  -0.01467566+2.14624047e-02j  0.09473797-8.49313521e-02j]
 [ 0.00876563-5.28016213e-02j  0.39847997-1.16337644e-18j
   0.01733046+2.22818684e-03j -0.07699651+1.48229774e-01j]
 [-0.01467566-2.14624047e-02j  0.01733046-2.22818684e-03j
   0.13972921+1.36256221e-18j -0.05420424+9.87500170e-02j]
 [ 0.09473797+8.49313521e-02j -0.07699651-1.48229774e-01j
  -0.05420424-9.87500170e-02j  0.26527046-3.21236508e-18j]]","[[ 0.33536399+1.85401566e-18j -0.03328923-3.51575510e-02j
  -0.08449502+2.58900635e-02j  0.1739543 +1.50005290e-01j]
 [-0.03328923+3.51575510e-02j  0.25963634-2.42632005e-18j
  -0.08042697-5.56318986e-02j -0.00717715+1.43802115e-01j]
 [-0.08449502-2.58900635e-02j -0.08042697+5.56318986e-02j
   0.15400959+1.16657251e-18j -0.09362893-9.30840235e-02j]
 [ 0.1739543 -1.50005290e-01j -0.00717715-1.43802115e-01j
  -0.09362893+9.30840235e-02j  0.25099009-3.01637538e-18j]]","[[ 0.20728235+2.38654326e-18j -0.09217537-4.68444295e-02j
  -0.01322217+1.68419969e-01j -0.0961749 +3.53372086e-02j]
 [-0.09217537+4.68444295e-02j  0.12896721-4.32909001e-19j
  -0.04199637-1.29736278e-01j -0.03221644-1.68683305e-02j]
 [-0.01322217-1.68419969e-01j -0.04199637+1.29736278e-01j
   0.28209122+6.34044913e-19j -0.03474279-8.13971450e-02j]
 [-0.0961749 -3.53372086e-02j -0.03221644+1.68683305e-02j
  -0.03474279+8.13971450e-02j  0.38165921-5.00978643e-18j]]",0.2558976727913982,0.5209758367209909,0.40332174917212393,1.180195258684513,-0.5368495078135604,0.5368495078135604,0.8934538919420225,"[ 6.89756886e-01  3.10243114e-01  9.44995048e-17  2.84109050e-17
  1.27397914e-17 -1.73702670e-18 -9.82717145e-18 -6.24253339e-17]",0.0,0.09427102739957542,0.047612607394921326,0.14188363479449675,0.3090571455774582,0.25892318128814706,0.3394847440550039,0.25892318128814706,0.30061454887388656
6,haar4q_traceD,0.38988122926190727,"[[ 0.32218554+8.59772294e-19j -0.12375189-1.44974003e-01j
  -0.14973375-1.75663853e-02j  0.1842298 +1.51169772e-01j]
 [-0.12375189+1.44974003e-01j  0.20601755-3.24119461e-19j
   0.03869365-2.11074047e-02j -0.09057945-2.24268689e-02j]
 [-0.14973375+1.75663853e-02j  0.03869365+2.11074047e-02j
   0.16848162+2.03307526e-18j -0.06225932-4.19962885e-02j]
 [ 0.1842298 -1.51169772e-01j -0.09057945+2.24268689e-02j
  -0.06225932+4.19962885e-02j  0.30331529-1.15738530e-18j]]","[[ 0.24158134+8.90721364e-20j  0.15371169+1.05743202e-01j
  -0.08453107+4.21675596e-02j -0.19404167-1.08666322e-01j]
 [ 0.15371169-1.05743202e-01j  0.28662175+4.46580698e-19j
  -0.06289361+2.24463179e-02j -0.15578213-8.21608138e-02j]
 [-0.08453107-4.21675596e-02j -0.06289361-2.24463179e-02j
   0.1523352 -1.76887412e-18j  0.03995674+6.26441164e-02j]
 [-0.19404167+1.08666322e-01j -0.15578213+8.21608138e-02j
   0.03995674-6.26441164e-02j  0.31946171+2.64456408e-18j]]","[[ 0.17461557-9.59059225e-20j  0.13336853+6.37183995e-02j
  -0.06377331-9.79978311e-02j  0.03197248-3.24474102e-02j]
 [ 0.13336853-6.37183995e-02j  0.31605158+2.98875347e-18j
  -0.23608974-2.64508800e-02j -0.1222379 -8.89724603e-02j]
 [-0.06377331+9.79978311e-02j -0.23608974+2.64508800e-02j
   0.21930097-1.58389606e-18j  0.0602999 +1.04668919e-01j]
 [ 0.03197248+3.24474102e-02j -0.1222379 +8.89724603e-02j
   0.0602999 -1.04668919e-01j  0.29003188+1.02391303e-19j]]",0.40755455860330914,0.37364404960366526,0.37806920472202865,1.159267812929003,-0.3775820469307182,0.3775820469307182,0.8347166283512918,"[ 7.34647364e-01  2.65352636e-01  5.20019258e-17  1.31829132e-17
  2.32335456e-18 -1.64655112e-17 -2.71253943e-17 -5.45461617e-17]",0.05843610720908458,0.048135547596923865,0.01863668784311413,0.12520834264912256,0.24350024323381317,0.262522957026065,0.24948529226841404,0.24350024323381317,0.25171197559870834
7,haar4q_traceD,0.41230582185409126,"[[ 0.23280541-2.16018802e-18j  0.16525915-4.44468949e-02j
  -0.01613633+4.73335817e-02j -0.12275694-3.31256598e-02j]
 [ 0.16525915+4.44468949e-02j  0.21261015+6.06266175e-19j
   0.064097  +4.85740032e-02j  0.05118485+1.86038197e-02j]
 [-0.01613633-4.73335817e-02j  0.064097  -4.85740032e-02j
   0.21068376+9.68346409e-19j  0.09473539+5.45367400e-02j]
 [-0.12275694+3.31256598e-02j  0.05118485-1.86038197e-02j
   0.09473539-5.45367400e-02j  0.34390067+4.35285987e-18j]]","[[ 0.23854151+6.92551715e-19j  0.12742423-4.79471063e-02j
   0.04683925+1.27773906e-01j -0.16173726-1.45556345e-01j]
 [ 0.12742423+4.79471063e-02j  0.20687406-2.24647356e-18j
   0.08637163+9.80649857e-03j -0.01179073-6.18365043e-02j]
 [ 0.04683925-1.27773906e-01j  0.08637163-9.80649857e-03j
   0.28729115+2.89527243e-18j -0.12868118+9.45618548e-02j]
 [-0.16173726+1.45556345e-01j -0.01179073+6.18365043e-02j
  -0.12868118-9.45618548e-02j  0.26729328+2.42593384e-18j]]","[[ 0.2281186 +7.45358310e-19j  0.09500498+8.07325878e-02j
   0.19959112+2.57275603e-02j -0.055833  -5.91345945e-02j]
 [ 0.09500498-8.07325878e-02j  0.21537057-1.93719992e-18j
   0.16464325-7.64481910e-02j  0.06040342-1.56377152e-02j]
 [ 0.19959112-2.57275603e-02j  0.16464325+7.64481910e-02j
   0.29771406+2.84246584e-18j -0.09626193-3.41178393e-02j]
 [-0.055833  +5.91345945e-02j  0.06040342+1.56377152e-02j
  -0.09626193+3.41178393e-02j  0.25879677+2.11666021e-18j]]",0.34079693347852325,0.7207842259093424,0.47857241999659794,1.5401535793844636,-0.34178349393997265,0.34178349393997265,0.8694989526604475,"[ 7.09396965e-01  2.90603035e-01  5.58495465e-17  2.56181726e-17
  4.02651966e-18 -1.04790487e-17 -4.02401378e-17 -8.31140579e-17]",0.011430727556653489,0.13546788270297777,0.10383392727348961,0.25073253753312086,0.30916181317212077,0.28115294576445815,0.329228415693844,0.28115294576445815,0.30587355591657994
8,haar4q_traceD,0.2577410530847314,"[[ 0.10932553+1.05641771e-19j -0.02541304-3.48517155e-02j
   0.00145909-1.21359087e-02j  0.03417002-1.08088255e-01j]
 [-0.02541304+3.48517155e-02j  0.18589182-1.13505258e-18j
   0.02148885+1.17610761e-01j  0.12657225-2.76839878e-02j]
 [ 0.00145909+1.21359087e-02j  0.02148885-1.17610761e-01j
   0.22837511+3.74009233e-19j -0.13170451-1.96415882e-01j]
 [ 0.03417002+1.08088255e-01j  0.12657225+2.76839878e-02j
  -0.13170451+1.96415882e-01j  0.47640754-1.58664285e-18j]]","[[0.1066746 -2.06022631e-18j 0.02294533+1.65368803e-02j
  0.0391908 +1.55545804e-02j 0.10838667-7.21732577e-03j]
 [0.02294533-1.65368803e-02j 0.18854274+1.03081550e-18j
  0.25633121-4.13144398e-02j 0.08884053-5.53744769e-02j]
 [0.0391908 -1.55545804e-02j 0.25633121+4.13144398e-02j
  0.51950108-1.98223852e-18j 0.19239323-5.56430372e-02j]
 [0.10838667+7.21732577e-03j 0.08884053+5.53744769e-02j
  0.19239323+5.56430372e-02j 0.18528157+7.69604907e-19j]]","[[ 0.18962774+2.85300570e-19j  0.03566883-5.50047730e-02j
  -0.14224013-1.38358787e-01j -0.05872312-1.31811502e-01j]
 [ 0.03566883+5.50047730e-02j  0.14807289+1.94350434e-19j
   0.10477271-1.70256913e-01j -0.01487742-9.29088104e-02j]
 [-0.14224013+1.38358787e-01j  0.10477271+1.70256913e-01j
   0.43654794-4.32776540e-18j  0.17966973+1.58986162e-02j]
 [-0.05872312+1.31811502e-01j -0.01487742+9.29088104e-02j
   0.17966973-1.58986162e-02j  0.22575142+1.60606997e-18j]]",0.2512927605186437,0.6039612128211356,0.3982231186669394,1.2534770920067186,-0.43118071809589475,0.43118071809589475,0.6147319871910063,"[ 8.48036598e-01  1.51963402e-01  5.24100065e-17  2.69397058e-17
 -3.95079340e-18 -1.47376192e-17 -2.05226733e-17 -5.10323049e-17]",0.0,0.14833900184098742,0.08093582763248515,0.22927482947347255,0.32121243472509686,0.28378137855860747,0.3700209458199512,0.28378137855860747,0.32309793630690753
9,haar4q_traceD,0.4188939867328487,"[[ 0.27513303+4.08270725e-19j -0.09492698-6.50932779e-03j
   0.02325311+1.50665889e-01j  0.03432656+2.39272619e-05j]
 [-0.09492698+6.50932779e-03j  0.15502835+1.38065238e-18j
   0.0827738 +1.41625386e-02j -0.00117974-5.91826239e-02j]
 [ 0.02325311-1.50665889e-01j  0.0827738 -1.41625386e-02j
   0.3953312 +1.13088126e-18j -0.02367602-2.26579308e-01j]
 [ 0.03432656-2.39272619e-05j -0.00117974+5.91826239e-02j
  -0.02367602+2.26579308e-01j  0.17450741+2.11558719e-18j]]","[[ 0.29819224+1.10787625e-18j  0.02278932-7.49945018e-02j
   0.01340264+1.62172360e-01j -0.00770002+1.63921674e-01j]
 [ 0.02278932+7.49945018e-02j  0.13196915+6.81046855e-19j
  -0.08363698-1.24464233e-01j  0.00867074-7.06890950e-02j]
 [ 0.01340264-1.62172360e-01j -0.08363698+1.24464233e-01j
   0.33904619+1.76983773e-18j  0.14434177+1.34835445e-01j]
 [-0.00770002-1.63921674e-01j  0.00867074+7.06890950e-02j
   0.14434177-1.34835445e-01j  0.23079242+1.47663072e-18j]]","[[ 0.47977668+1.70815892e-18j  0.10604364+4.91695647e-02j
  -0.04971952-1.07308864e-01j  0.00318728-4.36203354e-03j]
 [ 0.10604364-4.91695647e-02j  0.19068755-1.69006933e-19j
  -0.10524968-4.96304192e-02j -0.06888348-1.25779772e-01j]
 [-0.04971952+1.07308864e-01j -0.10524968+4.96304192e-02j
   0.15746175+1.16955506e-18j  0.06108746+1.06713783e-02j]
 [ 0.00318728+4.36203354e-03j -0.06888348+1.25779772e-01j
   0.06108746-1.06713783e-02j  0.17207402+2.32668451e-18j]]",0.3639421033667891,0.641243262131237,0.19280031093434102,1.197985676432367,-0.4287172075549368,0.4287172075549368,0.8796001962634501,"[ 7.01377771e-01  2.98622229e-01  1.50875836e-16  3.73364402e-17
 -4.84663796e-18 -1.01171821e-17 -2.61646738e-17 -9.48780654e-17]",0.06768715397018264,0.13142586370642975,0.0,0.19911301767661238,0.31563404285615343,0.22843388749333404,0.28641856716483083,0.22843388749333404,0.27435645260912156
