sample_id,ensemble,S_L,rho_AB,rho_AC,rho_BC,I_AB,I_AC,I_BC,P_pair,I3,I3_minus,S_ABC,eigvals,N_AB,N_AC,N_BC,N_pair_sum,N_A_BC,N_B_AC,N_C_AB,N_tri_min,N_tri_geom
0,haar3q_pure,2.220446049250313e-16,"[[ 0.20035464+3.30767531e-19j -0.00755632-1.72062413e-02j
   0.03790626+8.06517229e-02j  0.02136077-8.74748487e-02j]
 [-0.00755632+1.72062413e-02j  0.45820362+2.74515370e-18j
  -0.03477428+1.20084700e-01j  0.06815057-3.11791895e-01j]
 [ 0.03790626-8.06517229e-02j -0.03477428-1.20084700e-01j
   0.07264741+3.50790034e-19j -0.11795886-2.29416795e-02j]
 [ 0.02136077+8.74748487e-02j  0.06815057+3.11791895e-01j
  -0.11795886+2.29416795e-02j  0.26879433+5.51137331e-19j]]","[[ 0.3427124 +2.24536542e-18j -0.08832996-9.48263746e-02j
   0.0832517 -1.67645623e-01j -0.03680018+8.00634219e-02j]
 [-0.08832996+9.48263746e-02j  0.31584586+8.30555805e-19j
   0.15569568+2.62100840e-01j  0.02280512-6.34945491e-02j]
 [ 0.0832517 +1.67645623e-01j  0.15569568-2.62100840e-01j
   0.31006873+1.40925922e-18j -0.05470473-4.06027341e-02j]
 [-0.03680018-8.00634219e-02j  0.02280512+6.34945491e-02j
  -0.05470473+4.06027341e-02j  0.03137301-5.07331860e-19j]]","[[ 0.1497668 +9.54417208e-19j  0.09846336+4.63449578e-02j
   0.02229587-6.00769737e-02j -0.0773627 -4.22764562e-02j]
 [ 0.09846336-4.63449578e-02j  0.12323526-2.72859643e-19j
   0.09645012-1.50922028e-01j -0.14781105+1.99290528e-02j]
 [ 0.02229587+6.00769737e-02j  0.09645012+1.50922028e-01j
   0.50301433+2.70020744e-18j -0.24149805-1.81774067e-01j]
 [-0.0773627 +4.22764562e-02j -0.14781105-1.99290528e-02j
  -0.24149805+1.81774067e-01j  0.22398362+5.96083588e-19j]]",0.7010310724813442,0.7440612207039221,0.8807637469342621,2.3258560401195285,8.135808829597846e-16,0.0,4.805139755722376e-16,"[ 1.00000000e+00  1.75836735e-16  3.65114110e-17  2.63705227e-17
  8.23972089e-19 -1.24668901e-18 -1.91793479e-17 -1.43765636e-16]",0.14171138232013863,0.16110127626937215,0.2143972954072249,0.5172099539967356,0.4002317443354753,0.42556552592070446,0.43342584136063383,0.4002317443354753,0.41949899433967064
1,haar3q_pure,0.0,"[[ 0.09072157+4.02164054e-19j  0.12580578-1.15606434e-01j
   0.07220767+3.19913115e-02j  0.12980227+1.18653623e-01j]
 [ 0.12580578+1.15606434e-01j  0.35147498+2.49426595e-18j
   0.03888433+1.63019157e-01j -0.02081127+3.58397062e-01j]
 [ 0.07220767-3.19913115e-02j  0.03888433-1.63019157e-01j
   0.10677589+1.64928762e-18j  0.20488713+7.35503829e-02j]
 [ 0.12980227-1.18653623e-01j -0.02081127-3.58397062e-01j
   0.20488713-7.35503829e-02j  0.45102757+7.87998861e-19j]]","[[0.02065119-4.86538751e-21j 0.07752974-3.68390780e-04j
  0.03167698+4.24417508e-03j 0.016406  +5.69749087e-02j]
 [0.07752974+3.68390780e-04j 0.42154535+2.90129539e-18j
  0.19776877+9.80435130e-02j 0.01971942+3.86144198e-01j]
 [0.03167698-4.24417508e-03j 0.19776877-9.80435130e-02j
  0.1481651 +2.28298076e-19j 0.11963104+2.13569778e-01j]
 [0.016406  -5.69749087e-02j 0.01971942-3.86144198e-01j
  0.11963104-2.13569778e-01j 0.40963836+2.20898840e-18j]]","[[0.04660106+1.58759908e-19j 0.04645149+3.77452938e-02j
  0.05622727+2.22600863e-02j 0.04145927+4.46997329e-02j]
 [0.04645149-3.77452938e-02j 0.15089639+1.89269176e-18j
  0.08237416-7.96463182e-02j 0.27446564-6.43161377e-02j]
 [0.05622727-2.22600863e-02j 0.08237416+7.96463182e-02j
  0.12221523+6.46727811e-20j 0.15070929+1.75456093e-01j]
 [0.04145927-4.46997329e-02j 0.27446564+6.43161377e-02j
  0.15070929-1.75456093e-01j 0.68028732+3.21759203e-18j]]",0.43554339379889107,0.5152063706981261,0.13598224673459736,1.0867320112316146,9.829804545646046e-17,0.0,3.2034265038149176e-16,"[ 1.00000000e+00  6.31202789e-17  3.44564890e-17  6.48868613e-18
  2.52384884e-18 -9.19008107e-19 -6.92513325e-18 -1.16523302e-16]",0.17240656337756818,0.19718688104732193,0.009404544428894039,0.37899798885378416,0.30267819317466294,0.2176366148226391,0.2366223778128355,0.2176366148226391,0.24979839084666772
2,haar3q_pure,2.220446049250313e-16,"[[ 0.22186995+6.26452306e-19j -0.13323103-8.04654386e-03j
  -0.06942262-1.50628197e-01j  0.24838681+1.24809544e-01j]
 [-0.13323103+8.04654386e-03j  0.24652028+6.30894366e-18j
   0.07722375+1.34749278e-01j -0.22839116-1.00383929e-01j]
 [-0.06942262+1.50628197e-01j  0.07722375-1.34749278e-01j
   0.14261042+1.43696262e-18j -0.1856711 +1.44387911e-01j]
 [ 0.24838681-1.24809544e-01j -0.22839116+1.00383929e-01j
  -0.1856711 -1.44387911e-01j  0.38899934-4.99526728e-18j]]","[[ 0.14198142+7.11432166e-19j -0.08413964-4.88294901e-02j
  -0.02624251-9.45242117e-02j  0.04723099+2.01245993e-01j]
 [-0.08413964+4.88294901e-02j  0.32640881+6.22396380e-18j
   0.14174616+6.32633315e-02j -0.27157126-1.56487914e-01j]
 [-0.02624251+9.45242117e-02j  0.14174616-6.32633315e-02j
   0.10258957-1.66765892e-18j -0.20894987-1.41143338e-02j]
 [ 0.04723099-2.01245993e-01j -0.27157126+1.56487914e-01j
  -0.20894987+1.41143338e-02j  0.42902019-1.89064575e-18j]]","[[ 0.10433523+1.04601836e-18j -0.14259473+5.17342397e-02j
  -0.02681294+9.47115605e-02j  0.19447571-5.38264605e-02j]
 [-0.14259473-5.17342397e-02j  0.26014515+1.01739656e-18j
   0.11290974-1.48047543e-01j -0.2920892 +4.16298062e-02j]
 [-0.02681294-9.47115605e-02j  0.11290974+1.48047543e-01j
   0.14023577-2.00224511e-18j -0.15049479-1.14678064e-01j]
 [ 0.19447571+5.38264605e-02j -0.2920892 -4.16298062e-02j
  -0.15049479+1.14678064e-01j  0.49528386+3.31592149e-18j]]",0.5602886093261429,0.43490403919896437,0.5415632477863564,1.5367558963114636,5.423872553065231e-16,0.0,3.2034265038149176e-16,"[ 1.00000000e+00  1.05863406e-16  2.23034890e-17  4.72876450e-18
 -1.11811674e-18 -8.21726730e-18 -2.62994848e-17 -6.98487296e-17]",0.15839556525645387,0.09956510256756493,0.15071975222379372,0.4086804200478126,0.3119305859470179,0.33368681657792104,0.30804647804147217,0.30804647804147217,0.3176906397195567
3,haar3q_pure,2.220446049250313e-16,"[[ 0.09656408+1.52841161e-19j -0.00785511-1.74454902e-01j
   0.00207063+3.35796826e-03j  0.0054424 -1.12022965e-01j]
 [-0.00785511+1.74454902e-01j  0.53326227+8.63160263e-18j
   0.17359351-1.56746464e-02j  0.32733979-4.19114711e-02j]
 [ 0.00207063-3.35796826e-03j  0.17359351+1.56746464e-02j
   0.150563  -2.43266661e-18j  0.10528255-4.18800979e-02j]
 [ 0.0054424 +1.12022965e-01j  0.32733979+4.19114711e-02j
   0.10528255+4.18800979e-02j  0.21961065-5.28961315e-19j]]","[[ 0.26810359+5.36046496e-18j -0.25902296+9.42788946e-02j
   0.12890747+5.99721113e-02j -0.06699499+1.95330419e-01j]
 [-0.25902296-9.42788946e-02j  0.36172276+3.42397883e-18j
  -0.14453299-1.04655684e-01j  0.20050295-9.85256141e-02j]
 [ 0.12890747-5.99721113e-02j -0.14453299+1.04655684e-01j
   0.09696798+7.87142632e-19j -0.02488634+7.51398205e-02j]
 [-0.06699499-1.95330419e-01j  0.20050295+9.85256141e-02j
  -0.02488634-7.51398205e-02j  0.27320567-3.74877056e-18j]]","[[ 0.10273016+3.55192642e-19j  0.01737043-2.96191998e-03j
  -0.03071518-1.42208572e-01j  0.10335392+1.49914868e-01j]
 [ 0.01737043+2.96191998e-03j  0.14439691-2.63501809e-18j
  -0.08943892-3.73572369e-02j  0.12814263-7.41264277e-02j]
 [-0.03071518+1.42208572e-01j -0.08943892+3.73572369e-02j
   0.26234141+5.79241495e-18j -0.30127973+1.72380635e-01j]
 [ 0.10335392-1.49914868e-01j  0.12814263+7.41264277e-02j
  -0.30127973-1.72380635e-01j  0.49053151+2.31022636e-18j]]",0.6202943618525538,0.5681028364572637,0.6155188132793641,1.8039160115891817,1.2724257006055198e-17,0.0,-3.2034265038149176e-16,"[ 1.00000000e+00  1.14850586e-16  3.44994084e-17 -4.56617004e-19
 -7.01089548e-18 -2.00594200e-17 -2.47219925e-17 -1.02328899e-16]",0.16110658076955758,0.13863292526522003,0.1591446628809005,0.4588841689156781,0.35092381245191223,0.3602254104677926,0.3499816092397772,0.3499816092397772,0.3536802448147787
4,haar3q_pure,6.661338147750939e-16,"[[ 0.2607465 +3.65223743e-18j -0.0841406 +9.54993405e-03j
  -0.07193749+4.80627238e-02j -0.08123484-1.13679506e-01j]
 [-0.0841406 -9.54993405e-03j  0.04992703-2.92397245e-20j
  -0.05533767-3.25769220e-02j -0.04531004+8.16157394e-02j]
 [-0.07193749-4.80627238e-02j -0.05533767+3.25769220e-02j
   0.33362817-1.97290076e-19j  0.2058274 -1.63099732e-01j]
 [-0.08123484+1.13679506e-01j -0.04531004-8.16157394e-02j
   0.2058274 +1.63099732e-01j  0.35569831-5.31616484e-18j]]","[[ 0.08788228-1.08598777e-18j -0.03735961+1.11068479e-01j
  -0.02663781-1.51344264e-02j -0.07701927-5.34938212e-02j]
 [-0.03735961-1.11068479e-01j  0.22279124+4.70898547e-18j
  -0.14128892-9.01312084e-02j -0.09060973+1.44812890e-01j]
 [-0.02663781+1.51344264e-02j -0.14128892+9.01312084e-02j
   0.5333707 -4.95350722e-18j  0.09598165-1.55773007e-01j]
 [-0.07701927+5.34938212e-02j -0.09060973-1.44812890e-01j
   0.09598165+1.55773007e-01j  0.15595578-5.59947695e-19j]]","[[ 0.23945542-6.72168018e-19j  0.06297694-3.89087893e-02j
   0.16966003-1.29243026e-01j  0.02502487-4.59760768e-02j]
 [ 0.06297694+3.89087893e-02j  0.35491925+4.12711537e-18j
   0.28305717+1.21703174e-01j -0.04797323-2.43067720e-02j]
 [ 0.16966003+1.29243026e-01j  0.28305717-1.21703174e-01j
   0.38179756-5.36732697e-18j -0.00435491-5.79573825e-03j]
 [ 0.02502487+4.59760768e-02j -0.04797323+2.43067720e-02j
  -0.00435491+5.79573825e-03j  0.02382777+2.19224055e-20j]]",0.7166382824148574,0.8810583862377208,1.0011209220686943,2.5988175907212723,8.008566259537293e-16,0.0,8.008566259537293e-16,"[ 1.00000000e+00  8.50515840e-17  1.61630306e-17  2.19778475e-18
 -1.16873259e-19 -3.16652692e-18 -1.40206776e-17 -5.52571958e-17]",0.10621682124017452,0.18467170018193946,0.22992229293582428,0.5208108143579382,0.42847636811883977,0.4502312811077806,0.479439962069999,0.42847636811883977,0.45223647781112797
5,haar3q_pure,-2.220446049250313e-16,"[[ 0.33328924+8.04218602e-18j  0.12698237-9.16925619e-02j
  -0.10830794+1.34164744e-01j -0.12850116-1.55216386e-01j]
 [ 0.12698237+9.16925619e-02j  0.11526978+5.47135100e-19j
  -0.1389197 +1.98695828e-02j  0.05102283-1.79400189e-01j]
 [-0.10830794-1.34164744e-01j -0.1389197 -1.98695828e-02j
   0.17781661-1.63576453e-19j -0.10127912+2.27956982e-01j]
 [-0.12850116+1.55216386e-01j  0.05102283+1.79400189e-01j
  -0.10127912-2.27956982e-01j  0.37362437-2.95106073e-19j]]","[[ 0.10381337+7.93216924e-19j  0.14406713+3.38783318e-02j
   0.01611499-1.03747576e-01j -0.06562217-4.48042034e-02j]
 [ 0.14406713-3.38783318e-02j  0.34474565+7.79610419e-18j
  -0.08483089+3.82394289e-02j -0.07340011+5.85121317e-02j]
 [ 0.01611499+1.03747576e-01j -0.08483089-3.82394289e-02j
   0.40915006-2.37375592e-18j  0.15602555-1.72219602e-01j]
 [-0.06562217+4.48042034e-02j -0.07340011-5.85121317e-02j
   0.15602555+1.72219602e-01j  0.14229091+1.91507339e-18j]]","[[ 0.1566131 +4.43957452e-19j  0.16118673+1.86332296e-03j
  -0.05586488+1.45726631e-01j  0.08063794+8.31068597e-02j]
 [ 0.16118673-1.86332296e-03j  0.35449274+7.43465211e-18j
   0.01078859-3.22246995e-02j  0.08156813-9.46221063e-03j]
 [-0.05586488-1.45726631e-01j  0.01078859+3.22246995e-02j
   0.35635033-2.02449644e-18j  0.13890595-1.40204593e-01j]
 [ 0.08063794-8.31068597e-02j  0.08156813+9.46221063e-03j
   0.13890595+1.40204593e-01j  0.13254382+2.27652547e-18j]]",1.2641835363013187,0.689552442575436,0.6226530643779024,2.576389043254657,-2.093203479189761e-16,2.093203479189761e-16,-3.2034265038149176e-16,"[ 1.00000000e+00  3.83009362e-17  2.68929139e-17  7.02212063e-18
 -3.05993024e-18 -1.16094317e-17 -1.88178064e-17 -7.35527985e-17]",0.3173592139912458,0.09907764340280281,0.04479211459028081,0.4612289719843294,0.4919613766645655,0.4802582751663068,0.3750173660008176,0.3750173660008176,0.4458126779194926
6,haar3q_pure,0.0,"[[ 0.6217954 +6.15682771e-18j -0.13311873-1.45110816e-01j
  -0.03413565+1.96024520e-01j  0.30155292+1.03727096e-02j]
 [-0.13311873+1.45110816e-01j  0.09522732+2.82284894e-18j
  -0.06528892-6.26044060e-02j -0.04296292+3.75427467e-02j]
 [-0.03413565-1.96024520e-01j -0.06528892+6.26044060e-02j
   0.09049483+1.35189882e-18j -0.02110355-6.13652449e-02j]
 [ 0.30155292-1.03727096e-02j -0.04296292-3.75427467e-02j
  -0.02110355+6.13652449e-02j  0.19248246-1.93470880e-18j]]","[[ 0.19026684+4.05611287e-19j  0.27242723+7.46553352e-02j
  -0.02739566+1.20973108e-02j -0.02934281+1.25635085e-01j]
 [ 0.27242723-7.46553352e-02j  0.52675588+8.57406536e-18j
  -0.09920112+1.38292108e-01j -0.04970291+2.21469956e-01j]
 [-0.02739566-1.20973108e-02j -0.09920112-1.38292108e-01j
   0.15683831-2.45324384e-19j  0.07741554+2.41380192e-02j]
 [-0.02934281-1.25635085e-01j -0.04970291-2.21469956e-01j
   0.07741554-2.41380192e-02j  0.12613897-3.37485597e-19j]]","[[ 0.19779527+4.32226850e-19j  0.28519682+6.12293328e-02j
  -0.02244519-9.20537557e-03j -0.07994461-1.29252821e-01j]
 [ 0.28519682-6.12293328e-02j  0.51449495+7.07649968e-18j
  -0.02522849-1.16957045e-01j -0.13177708-1.97270686e-01j]
 [-0.02244519+9.20537557e-03j -0.02522849+1.16957045e-01j
   0.14930988-2.71939947e-19j  0.06464595+3.75640216e-02j]
 [-0.07994461+1.29252821e-01j -0.13177708+1.97270686e-01j
   0.06464595-3.75640216e-02j  0.13839989+1.16008009e-18j]]",0.8243433247212419,0.5000878608162321,0.47310288559076574,1.7975340711282397,-1.2724257006055198e-17,1.2724257006055198e-17,3.2034265038149176e-16,"[ 1.00000000e+00  8.89388486e-17  1.15102102e-17  2.41114598e-18
 -2.05001465e-19 -2.81272813e-18 -8.92381538e-18 -5.46432800e-17]",0.22023521200953777,0.06464182603389332,0.034669737713258014,0.3195467757566891,0.3773635948219679,0.37217735821174747,0.3073647324558532,0.3073647324558532,0.3507960230882952
7,haar3q_pure,2.220446049250313e-16,"[[ 0.02818573+1.65042438e-19j  0.01214071+1.51184181e-02j
   0.00456363-7.50013567e-02j -0.07869173-7.76779357e-02j]
 [ 0.01214071-1.51184181e-02j  0.08024185-3.90022890e-19j
  -0.11324598-1.03986209e-02j -0.03734995-8.89780725e-02j]
 [ 0.00456363+7.50013567e-02j -0.11324598+1.03986209e-02j
   0.29321816+5.66215523e-19j  0.11555532-1.26354047e-01j]
 [-0.07869173+7.76779357e-02j -0.03734995+8.89780725e-02j
   0.11555532+1.26354047e-01j  0.59835426+1.13953046e-17j]]","[[ 0.07275869+5.25290242e-19j -0.02003695+1.75507979e-02j
  -0.11244749-1.54489224e-01j -0.06246748-5.82493922e-02j]
 [-0.02003695-1.75507979e-02j  0.03566888-7.50270694e-19j
  -0.00663996+7.05431027e-02j  0.07966116-9.49020503e-03j]
 [-0.11244749+1.54489224e-01j -0.00663996-7.05431027e-02j
   0.50184833+1.06021521e-17j  0.21784836-4.46600309e-02j]
 [-0.06246748+5.82493922e-02j  0.07966116+9.49020503e-03j
   0.21784836+4.46600309e-02j  0.3897241 +1.35936807e-18j]]","[[ 0.10948011-7.65446671e-19j  0.01912675+1.42186741e-01j
   0.21716777+6.13011731e-02j  0.10561136-5.48424222e-02j]
 [ 0.01912675-1.42186741e-01j  0.21192377+1.49670463e-18j
   0.11802036-2.71904369e-01j -0.08947175-1.72536802e-01j]
 [ 0.21716777-6.13011731e-02j  0.11802036+2.71904369e-01j
   0.46512691+1.18928890e-17j  0.17868466-1.69295974e-01j]
 [ 0.10561136+5.48424222e-02j -0.08947175+1.72536802e-01j
   0.17868466+1.69295974e-01j  0.21346921-8.87607255e-19j]]",0.33420014624903516,0.4287171277450146,1.3005326656900738,2.0634499396841237,-6.169847920468636e-16,6.169847920468636e-16,1.6017132519074588e-16,"[ 1.00000000e+00  1.65936608e-16  3.00559382e-17  9.01867332e-18
 -1.92532864e-18 -4.08183801e-18 -1.33926997e-17 -5.84280425e-17]",0.037460525407313074,0.09848834254852097,0.3654065649091489,0.501355432864983,0.26211989724539414,0.43522843330183825,0.4522936296729331,0.26211989724539414,0.37228817332028824
8,haar3q_pure,-4.440892098500626e-16,"[[ 0.42265248+7.47948802e-18j  0.18325086+3.00160433e-02j
  -0.01197206+3.21601850e-01j -0.11169462-2.17312243e-01j]
 [ 0.18325086-3.00160433e-02j  0.15576382+2.79266184e-18j
  -0.01044287+1.18450297e-01j -0.08320082-1.17547488e-01j]
 [-0.01197206-3.21601850e-01j -0.01044287-1.18450297e-01j
   0.26211747-3.79765814e-18j -0.14566544+9.72897452e-02j]
 [-0.11169462+2.17312243e-01j -0.08320082+1.17547488e-01j
  -0.14566544-9.72897452e-02j  0.15946624+7.97378003e-19j]]","[[ 0.44859853+7.35066523e-18j -0.16357383-1.12932806e-02j
  -0.0641523 +1.95277523e-01j  0.18323691-7.94882960e-02j]
 [-0.16357383+1.12932806e-02j  0.12981777+2.92148463e-18j
  -0.06883368+1.25368158e-02j -0.03102058+8.77683836e-03j]
 [-0.0641523 -1.95277523e-01j -0.06883368-1.25368158e-02j
   0.30749925-2.31078013e-18j -0.13333461-7.86612611e-02j]
 [ 0.18323691+7.94882960e-02j -0.03102058-8.77683836e-03j
  -0.13333461+7.86612611e-02j  0.11408446-6.89500006e-19j]]","[[ 0.5531115 +4.93317185e-18j -0.18858777-1.73328985e-01j
   0.00588023+1.28625761e-01j -0.08004676+2.83320955e-02j]
 [-0.18858777+1.73328985e-01j  0.13165845-1.25134197e-18j
  -0.03587622-8.90764901e-02j  0.03170519-1.31997258e-03j]
 [ 0.00588023-1.28625761e-01j -0.03587622+8.90764901e-02j
   0.20298628+1.06713247e-19j -0.10832067+8.33744433e-02j]
 [-0.08004676-2.83320955e-02j  0.03170519+1.31997258e-03j
  -0.10832067-8.33744433e-02j  0.11224377+3.48332660e-18j]]",1.2124243419460723,0.4458114163091911,0.4776145868251145,2.135850345080378,-4.440892098500626e-16,4.440892098500626e-16,-0.0,"[ 1.00000000e+00  3.35621294e-17  1.41454791e-17  2.90570834e-18
 -9.42478623e-18 -2.38865854e-17 -5.08204087e-17 -1.23503327e-16]",0.33533691748471955,0.04631676031869476,0.07430665128081154,0.45596032908422585,0.4394938277892365,0.4452422256394806,0.2969301038635444,0.2969301038635444,0.3873180932307519
9,haar3q_pure,3.3306690738754696e-16,"[[ 0.3349379 +1.07759977e-18j -0.04921216+5.59048141e-02j
  -0.12309833-1.93775118e-02j  0.01118361+7.29463164e-02j]
 [-0.04921216-5.59048141e-02j  0.01848577-4.15773964e-19j
   0.02924728+3.26220068e-02j  0.02728056-3.60496771e-02j]
 [-0.12309833+1.93775118e-02j  0.02924728-3.26220068e-02j
   0.19833042+2.94357203e-18j  0.00442602-2.82063084e-01j]
 [ 0.01118361-7.29463164e-02j  0.02728056+3.60496771e-02j
   0.00442602+2.82063084e-01j  0.44824591-2.11959795e-18j]]","[[ 0.12905871+1.21649401e-18j -0.01438762-1.67645010e-01j
  -0.07429974-9.59081615e-02j  0.04363982+2.72231824e-02j]
 [-0.01438762+1.67645010e-01j  0.22436496-5.54668200e-19j
   0.09924658-1.15868743e-01j -0.02151803+4.04809727e-02j]
 [-0.07429974+9.59081615e-02j  0.09924658+1.15868743e-01j
   0.5212259 +3.69234310e-18j -0.0920672 +2.18031867e-01j]
 [ 0.04363982-2.72231824e-02j -0.02151803-4.04809727e-02j
  -0.0920672 -2.18031867e-01j  0.12535043-2.86836903e-18j]]","[[ 0.30346829+4.43850750e-18j -0.04840118-1.28431538e-01j
  -0.00576104-2.29487802e-01j  0.16218423+6.52288368e-02j]
 [-0.04840118+1.28431538e-01j  0.22980003-4.17335702e-19j
  -0.07022637+7.13797844e-03j -0.0390251 +3.32953207e-03j]
 [-0.00576104+2.29487802e-01j -0.07022637-7.13797844e-03j
   0.34681632+4.70329610e-19j -0.05805364+1.78818396e-01j]
 [ 0.16218423-6.52288368e-02j -0.0390251 -3.32953207e-03j
  -0.05805364-1.78818396e-01j  0.11991536-3.00570152e-18j]]",0.8454642439313377,0.9552080245915708,0.8289698193680981,2.6296420878910065,0.0,0.0,-0.0,"[ 1.00000000e+00  5.94454068e-17  7.26387285e-18  9.02664519e-19
 -1.11774920e-18 -2.11080269e-17 -3.18734104e-17 -8.24774829e-17]",0.10198661793382786,0.16845290424947626,0.08824244642234723,0.3586819686056514,0.46503995677990984,0.4424249738318146,0.4621072087846522,0.4424249738318146,0.4564125197879575
