t,N,n_points,base_seed_requested,effective_base_seed,state_seed,family,family_min_jtot,health_check,corr_J_rho,corr_J_tot,corr_SL,corr_P_pair,corr_N_pair,corr_N_env,target_max,target_mean,J_tot_min_grid,J_tot_mean_grid,state_idx
0.05,8,144,1,1,1036,broad_xyz,21.99112410904393,False,0.17812459619951948,0.5026437972126206,-0.20177378292369033,-0.5644692675971128,-0.48539809317227245,0.39824920112002155,0.0033202876187006054,0.0006301274113650917,2.2119365552471064e-15,17.487037648106664,26
0.075,8,144,1,1,1036,broad_xyz,21.99112410904393,False,0.29185681221505744,0.5670948546325382,-0.09689688842955803,-0.603033437262983,-0.5927786316376212,0.3806887336710371,0.008554187159665083,0.0019957409799312062,2.2119365552471064e-15,17.487037648106664,26
0.1,8,144,1,1,1036,broad_xyz,21.99112410904393,False,0.4532577443552086,0.6444373878869104,0.04828807702753622,-0.6365845719239588,-0.7255930131548666,0.36376194765374886,0.017913353044641506,0.005130541126507581,2.2119365552471064e-15,17.487037648106664,26
0.125,8,144,1,1,1036,broad_xyz,21.99112410904393,False,0.6304422153770984,0.7176544762377999,0.21573302611240722,-0.6627223508285252,-0.8224059716558739,0.34390052834161117,0.033322987917366834,0.011200918549980277,2.2119365552471064e-15,17.487037648106664,26
0.15,8,144,1,1,1036,broad_xyz,21.99112410904393,False,0.7693140444775832,0.7795362837895172,0.3722660507013023,-0.6916480222253253,-0.8620973940494107,0.32360146137743817,0.05385136192719555,0.02097813354833444,2.2119365552471064e-15,17.487037648106664,26
0.1625,8,144,1,1,1036,broad_xyz,21.99112410904393,False,0.8141298055065816,0.8040993806304011,0.4380829794171304,-0.7104868891763134,-0.8636161090743866,0.31567658850451685,0.06573360440047955,0.027106957415105087,2.2119365552471064e-15,17.487037648106664,26
0.175,8,144,1,1,1036,broad_xyz,21.99112410904393,False,0.8435685127181006,0.825088274955208,0.49280151533716,-0.7340015041871312,-0.8518898900246843,0.3105065346802271,0.07790209281635237,0.033832565891089704,2.2119365552471064e-15,17.487037648106664,26
0.1875,8,144,1,1,1036,broad_xyz,21.99112410904393,False,0.8613128647945121,0.8422357268738113,0.5357563176899524,-0.7622650078845513,-0.8291325449863665,0.311366856907362,0.090467631924563,0.04091478771320063,2.2119365552471064e-15,17.487037648106664,26
0.2,8,144,1,1,1036,broad_xyz,21.99112410904393,False,0.872352439352835,0.8573586608532673,0.5710524710785303,-0.7927590150523837,-0.7833830358177842,0.31878809652035767,0.1029151879908977,0.04818466268843959,2.2119365552471064e-15,17.487037648106664,26
0.2125,8,144,1,1,1036,broad_xyz,21.99112410904393,False,0.8796510030834203,0.8715125725609538,0.6014058804690956,-0.8245539767257838,-0.7088440587897151,0.32868721573784454,0.11422571157934287,0.05553913906038921,2.2119365552471064e-15,17.487037648106664,26
