,t,metric,pearson_with_I3max,spearman_with_I3max
0,0.1,rho_J_rho_exp_I3,0.6419060003782568,0.6244897959183673
1,0.1,r_J_tot_I3,0.6418498444988064,0.6235294117647059
2,0.1,rho_J_tot_I3,0.6200111326367336,0.6130612244897959
3,0.1,r_J_rho_exp_I3,0.6041616265952621,0.5827130852340937
4,0.1,rho_eta_I3,0.5357425560004292,0.4773589435774309
5,0.1,r_eta_I3,0.5291145758873652,0.4899399759903961
6,0.1,r_P_pair_I3,0.3473641497313903,0.3323409363745498
7,0.1,rho_P_pair_I3,0.34325670467231617,0.3230252100840336
8,0.1,r_N_pair_sum_I3,0.2719712738911661,0.23649459783913568
9,0.1,rho_N_pair_sum_I3,0.24875993107102534,0.20806722689075627
10,0.15,rho_J_tot_I3,0.6228870241777523,0.6481152460984393
11,0.15,r_J_tot_I3,0.6222077551284444,0.6371668667466986
12,0.15,rho_J_rho_exp_I3,0.6200865457250629,0.5989435774309724
13,0.15,r_J_rho_exp_I3,0.5822730847773655,0.5343097238895558
14,0.15,rho_eta_I3,0.5250786510140228,0.4902280912364946
15,0.15,r_eta_I3,0.49851009446425426,0.4523889555822329
16,0.15,r_P_pair_I3,0.41192128872830847,0.32254501800720287
17,0.15,rho_P_pair_I3,0.39386380977702906,0.322641056422569
18,0.15,r_N_pair_sum_I3,0.38101240405936915,0.2746218487394958
19,0.15,rho_N_pair_sum_I3,0.32676219784036536,0.2742376950780312
20,0.2,rho_J_tot_I3,0.5814279756335594,0.5829051620648259
21,0.2,r_J_tot_I3,0.5416946858275763,0.5413205282112845
22,0.2,rho_J_rho_exp_I3,0.5336983738737813,0.506938775510204
23,0.2,r_J_rho_exp_I3,0.49234540844763447,0.44797118847539014
24,0.2,rho_eta_I3,0.45758711549928793,0.4055222088835534
25,0.2,r_N_pair_sum_I3,0.44694439882554393,0.4466266506602641
26,0.2,r_P_pair_I3,0.44027832632198705,0.3848739495798319
27,0.2,rho_P_pair_I3,0.4168025784054858,0.3968787515006002
28,0.2,r_eta_I3,0.4127209981204243,0.36528211284513806
29,0.2,rho_N_pair_sum_I3,0.38314646567826566,0.4027370948379352
30,0.25,rho_J_tot_I3,0.5128665021665545,0.5137575030012005
31,0.25,r_P_pair_I3,0.4781979329860466,0.46180072028811525
32,0.25,rho_P_pair_I3,0.45317263763171206,0.44710684273709483
33,0.25,rho_J_rho_exp_I3,0.43714744596988536,0.4060984393757503
34,0.25,r_J_tot_I3,0.404511045414796,0.3766146458583433
35,0.25,r_J_rho_exp_I3,0.4003134427852838,0.3865066026410564
36,0.25,r_N_pair_sum_I3,0.38974290385171195,0.3995678271308523
37,0.25,rho_eta_I3,0.38655889632779106,0.3729651860744298
38,0.25,r_eta_I3,0.3552170391700934,0.35183673469387755
39,0.25,rho_N_pair_sum_I3,0.34741396963651294,0.3522208883553421
40,0.3,r_P_pair_I3,0.5286442389778357,0.5561104441776711
41,0.3,rho_P_pair_I3,0.4952348497984339,0.5137575030012005
42,0.3,rho_J_tot_I3,0.4737285092088613,0.45767106842737093
43,0.3,rho_J_rho_exp_I3,0.4197135325424146,0.42031212484993996
44,0.3,r_J_rho_exp_I3,0.37423468076601535,0.38516206482593035
45,0.3,rho_eta_I3,0.372780405106086,0.41848739495798315
46,0.3,r_eta_I3,0.35418291126209406,0.40984393757502996
47,0.3,r_J_tot_I3,0.2918151836970986,0.2276590636254502
48,0.3,r_N_pair_sum_I3,0.11057288226760444,0.10338535414165667
49,0.3,rho_N_pair_sum_I3,0.09856668193318056,0.08725090036014405
